question,context_relevancy_snowflake,context_relevancy_nomic,context_relevancy_pubmed_bert,context_relevancy_qa-cos,context_relevancy_mini-l6
Do human phosphorylation sites predominantly reside in ordered regions of proteins?,0.019607843,0.352941176,0.307692308,0.136363636,0.210526316
How many motifs are estimated to exist in the human proteome?,0.090909091,0.2,0.411764706,0.352941176,0.2
How do different motifs play a role in the general function of various proteins?,0.019607843,0.1875,0.111111111,0.25,0.3125
What are the motifs present in human CBP?,0.25,0.285714286,0.333333333,0.166666667,0.333333333
What is the effect that the presence of a motif exerts on the fate of the full protein?,0.016949153,0.214285714,0.076923077,0.038461538,0.052631579
What are RHIM sequences?,0.043478261,0.166666667,0.035714286,0.029411765,0.027777778
What are the key ways in which post-translational modifications regulate disordered proteins?,0.166666667,0.294117647,0.2,0.210526316,0.12
Does p120 catenin regulate cell adhesion?,0.01010101,0.266666667,0.153846154,0.023255814,0.088235294
What signaling is affected by MSI-1436?,0.076923077,0.2,0.038461538,0.093023256,0.083333333
What are the special biophysical and cellular features of how disordered proteins interact with their partners?,0.117647059,0.066666667,0.5,0.02173913,0.028571429
How is the binding of the LAT protein regulated?,0.333333333,0.052631579,0.076923077,0.047619048,0.666666667
"In a physical and biological sense, what makes the protein-protein interaction modes of disordered proteins special?",0.009009009,0.066666667,0.444444444,0.181818182,0.028571429
What is CALVADOS?,0.2,0.066666667,0.035714286,0.19047619,0.03125
What are the main steps to computationally generating conformational ensembles of disordered proteins?,0.016949153,0.4,0.103448276,0.023255814,0.266666667
Are compact IDRs generally longer than extended IDRs?,1,0.027777778,0.15,0.166666667,0.272727273
How many disordered regions were identified in the human proteome?,0.017857143,0.052631579,0.045454545,0.055555556,0.055555556
What are the effects of the compaction of disordered proteins on their biological functions?,0.2,0.142857143,0.19047619,0.038961039,0.15
What is the compaction of human p53?,0.013157895,0.03030303,0.01754386,0.019607843,0.016949153
How is the biological role of a disordered protein dependent on the degree to which it has a compact overall structure?,0.014705882,0.041666667,0.04,0.018181818,0.025
