library,Evaluator,question,qa_cos,qa_dot,mini_l6,mini_l12,snowflake,nomic
GPCR,KN,Which sensors or assays can be used to explain different compartmentalization of signaling?,0.041666667,0.029411765,0.103448276,0.029411765,0.027027027,0.071428571
GPCR,KN,How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?,0.0625,0.016393443,0.033333333,0.016393443,0.042553191,0.157894737
GPCR,KN,"Which sequence or structural motifs differentiate neutral, G protein and _arrestin-biased GPCRs? ",0.022727273,0.019607843,0.028571429,0.019607843,0.023255814,0.047619048
GPCR,KN,Which regions of GPCR modulate ligand efficacy and which potency?,0.3125,0.111111111,0.021276596,0.027777778,0.375,0.052631579
GPCR,KN,How do human and mouse TAAR1 differentiate between different ligands?,0.157894737,0.071428571,0.25,0.071428571,0.090909091,0.052631579
GPCR,KN,What is the basis of polypharmacology on TAAR1 receptors?,0.214285714,0.19047619,0.15,0.047619048,0.125,0.096774194
GPCR,KN,Do different ligands on the TAAR1 receptor induce different G protein signaling?,0.05,0.166666667,0.157894737,0.166666667,0.5,0.107142857
GPCR,KN,In which physiological or pathophysiological processes is TAAR1 signaling active?,0.5625,0.026315789,0.125,0.026315789,0.032258065,0.230769231
GPCR,KN,How are GPCR and kinase signaling connected?,0.214285714,0.014285714,0.016949153,0.042857143,0.081632653,0.176470588
GPCR,KN,Which studies and how identified crosstalk between the GPCR and kinase signaling?,0.058823529,0.014285714,0.020408163,0.014285714,0.018181818,0.066666667
GPCR,KN,In which therapeutic areas we could target RTK/GPCR crosstalk?,0.029411765,0.230769231,0.3,0.230769231,0.4,0.034482759
GPCR,KN,What is the mechanism of GPCR-related gene transcription? ,0.25,0.018867925,0.023809524,0.056603774,0.076923077,0.1875
GPCR,VTG,Which G-proteins have been assayed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.012345679,0.428571429,0.142857143,0.428571429,0.05,0.777777778
GPCR,VTG,What is the read-out of the sensors in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.0625,0.375,0.2,0.5,0.03030303,0.444444444
GPCR,VTG,What is the cell-line in which the sensor has been validated in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.230769231,0.1,0.2,0.1,0.066666667,0.1
GPCR,VTG,Is the sensor multiplexed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.058823529,0.111111111,0.2,0.111111111,0.066666667,0.111111111
GPCR,VTG,How much dynamic range was achieved with this sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.272727273
GPCR,VTG,Was the sensor engineered further in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.1,0.090909091,0.076923077,0.090909091,0.066666667,0.181818182
GPCR,VTG,Which signaling molecule does the sensor measure in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.055555556,0.055555556,0.083333333,0.055555556,0.058823529,0.363636364
GPCR,VTG,How much is the specificity achieved in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.083333333,0.05,0.066666667,0.05,0.083333333,0.041666667
GPCR,VTG,Which transcription factor response element has been used for the sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.027027027,0.05,0.111111111,0.05,0.058823529,0.066666667
GPCR,VTG,Which model system has been used in the work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.071428571,0.066666667,0.083333333,0.066666667,0.04,0.071428571
GPCR,VTG,How many GPCRs have been targeted  in this paper - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.142857143,0.066666667,0.04,0.066666667,0.133333333,0.121212121
GPCR,VTG,Which molecules have been tested for the sensor response in this article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.047619048,0.111111111,0.055555556,0.111111111,0.018867925,0.05
GPCR,VTG,Did they build a stable cell-line for this work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.090909091,0.058823529,0.055555556,0.058823529,0.04,0.071428571
GPCR,VTG,What was the rate of false-positive in the article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.066666667,0.052631579,0.0625,0.052631579,0.043478261,0.04
GPCR,VTG,What are the key capabilities and features of the G-protein activity biosensors?,0.333333333,0.285714286,0.05,0.357142857,0.018518519,0.384615385
GPCR,VTG,What are some potential limitations of the biosensor design mentioned in the article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?,0.043478261,0.028571429,0.130434783,0.114285714,0.111111111,0.176470588
GPCR,VTG,How does the expression level of the biosensors impact normal G-protein signaling? ,0.130434783,0.066666667,0.176470588,0.2,0.032258065,0.130434783
GPCR,VTG,Does levels of biosensor expression interfere with downstream signaling pathways?,0.357142857,0.307692308,0.333333333,0.307692308,0.055555556,0.285714286
GPCR,VTG,Are any beta-arrestins measured in this article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?,0.034482759,0.037037037,0.037037037,0.037037037,0.035714286,0.090909091
GPCR,VTG,What is the CRISPR-coupled GPCR ChaCha system? ,0.19047619,0.12,0.157894737,0.12,0.2,0.125
GPCR,VTG,What ligands can activate the CRISPR ChaCha systems?,0.137931034,0.380952381,0.277777778,0.19047619,0.25,0.277777778
GPCR,VTG,What advantages does the ChaCha system offer over the Tango architecture? ,0.176470588,0.25,0.210526316,0.25,0.25,0.142857143
GPCR,VTG,What are the limitations of the CRISPR ChaCha system? ,0.25,0.222222222,0.15,0.222222222,0.25,0.285714286
GPCR,VTG,Which other systems can CRISPR ChaCha be applied to?,0.16,0.147058824,0.157894737,0.147058824,0.266666667,0.05
Kinases,KP,What are the proofs of pathogenic gain-of-mutations can shift the equilibrium towards the active state in FGFRs?,0.333333333,0.259259259,0.2,0.111111111,0.333333333,0.545454545
Kinases,KP,List all the FGFR mutations that were used in the experiments.,0.045454545,0.0625,0.055555556,0.0625,0.6,0.230769231
Kinases,KP,Which FGFR2 mutant has the lowest substrate phosphorylation activity?,0.038461538,0.043478261,0.05,0.043478261,0.090909091,0.0625
Kinases,KP,"Is there any binding data about FGFR2 kinase domain and C-terminal interaction? If yes, list the binding affinity values too.",0.102564103,0.2,0.115384615,0.266666667,0.428571429,0.12
Kinases,KP,"What is the interaction mechanism between FGFR2, SHP2 and PLC_1? Summarize it in a bulleted list.",0.136363636,0.25,0.136363636,0.25,0.2,0.136363636
Kinases,KP,"Provide me all the affinity binding data for FGFR2 ï¿½ SHP2, FGFR2 - PLC_1, FGFR8 ï¿½ SHP2 and SHP2 - PLC_1.",0.157894737,0.111111111,0.24137931,0.111111111,0.333333333,0.115384615
Kinases,KP,What things can affect the interaction between FGFR2 and SHP2?,0.111111111,0.346153846,0.09375,0.307692308,0.15,0.24137931
Kinases,KP,How can be the FGFR2-SHP2 interaction affected?,0.034482759,0.038461538,0.03125,0.038461538,0.176470588,0.034482759
Kinases,KP,What is the difference between a canonical and non-canonical SH2 domain interaction?,0.107142857,0.066666667,0.052631579,0.066666667,0.333333333,0
Kinases,KP,Provide a bulleted list of the main findings from the paper ï¿½Group I and II mammalian PAKs have different modes of activation by Cdc42ï¿½. ,0.034482759,0.129032258,0.238095238,0.129032258,0.166666667,0.15
Kinases,KP,Does regulatory domain inhibit PAK4?,0.277777778,0.263157895,0.157894737,0.263157895,0.090909091,0.111111111
Kinases,KP,What are the Kd values for peptide binding of PAK4? ,0.076923077,0.058823529,0.045454545,0.058823529,0.125,0.047619048
Kinases,KP,List me the construct boundaries of PAK4 in the experiments.,0.111111111,0.1875,0.125,0.1875,0.333333333,0.107142857
Kinases,KP,List me the PAK4 construct boundaries in the experiments.,0.222222222,0.25,0.045454545,0.1875,0.333333333,0.076923077
Kinases,KP,What is known about the inhibition and activation of PAK4?,0.041666667,0.444444444,0.4375,0.444444444,0.166666667,0.318181818
Kinases,KP,What is known about PAK4 structure?,0.428571429,0.157894737,0.238095238,0.105263158,0.111111111,0.1875
Kinases,KP,Is there any interaction between PAKs and FGFRs?,0.090909091,0.024390244,0.066666667,0.024390244,0.428571429,0.035714286
Kinases,KP,What is the main substrate of MNK1 kinase?,0.010309278,0.027027027,0.25,0.027027027,0.166666667,0.0625
Kinases,KP,"How many variants of PAK, FGFR and MASP exist in the human body? List me the names too.",0.153846154,0.1875,0.428571429,0.1875,0.2,0.148148148
Kinases,PB,"Does the study suggest that  the regions with low modeled confidence, as predicted by AF2, undergo significant atomic displacement?",0.035714286,0.029411765,0.035714286,0.029411765,0.333333333,0.142857143
Kinases,PB,Were any notable differences observed in the conformational landscape of AlphaFold2 predicted protein kinase structures as compared to the experimentally determined structures?                         OR                                                                                                                         Did the study identify significant disparities in the conformational landscape between AlphaFold2-predicted protein kinase structures and experimentally determined ones?,0.1875,0.066666667,0.066666667,0.2,0.375,0.023809524
Kinases,PB,Does combining a shallow MSA with state annotated templates achieve accuracy in predicting the active state of kinase?,0.235294118,0.0625,0.25,0.0625,0.333333333,0.173913043
Kinases,PB,How does the proposed pipeline address neural network biases and biases towards specific structural conformations within the AlphaFold2 training set?,0.066666667,0.045454545,0.157894737,0.045454545,0.25,0.181818182
Kinases,PB,Tabulate the different ligand types in kinase  and their associated details.,0.057142857,0.105263158,0.054054054,0.105263158,0.375,0.027027027
Kinases,PB,Provide the number of unique ligands in each combination of conformation and ligand type.,0.076923077,0.052631579,0.045454545,0.052631579,0.2,0.076923077
Kinases,PB,What does MMS stand for?,0.238095238,0.222222222,0.25,0,0.2,0.1875
Kinases,PB,How does the benzylamine group impact target selectivity?,0.055555556,0.071428571,0.066666667,0.071428571,0.25,0.058823529
Kinases,PB,What did the high-resolution structures of CAK-bound pyrazolopyrimidine inhibitor complexes unravel?,0.2,0.024390244,0.151515152,0.024390244,0.571428571,0.2
Kinases,PB,"What new perspective about the signalling events of the CDK1, CDK2, CDK4 and CDK6 kinase subfamilies did the work decipher?",0.015625,0.058823529,0.15,0.058823529,0.428571429,0.230769231
Kinases,PB,How many sites of the  human Ser/Thr phosphoproteome were annotated?,0.25,0.227272727,0.230769231,0.227272727,0.571428571,0.5
Kinases,PB,Is chemical proteomics an infalliable approach? Give pointwise justification.                                                                                           OR                                                                                                                                                                                                            Should chemical proteomics be used? Give point wise justification.,0.050847458,0.25,0.055555556,0.333333333,1,0.073170732
Kinases,PB,How was machine learning used in the current study?,0.014084507,0.166666667,0.173913043,0.166666667,0.3,0.022222222
Kinases,PB,Define the different kinase conformations?,0.045454545,0.157894737,0.181818182,0.210526316,0.25,0.066666667
Kinases,PB,What are the steps in the Foldseek method?,0.136363636,0.088235294,0.090909091,0.088235294,0.8,0.033333333
Kinases,PB,"Provide rationale for determining which of the two methods, AlphaFold2 or Foldseek, exhibits superior performance.",0.096774194,0.028571429,0.096774194,0.028571429,0.25,0.115384615
Kinases,PB,What is the novelty of this paper?,0.166666667,0.210526316,0.16,0.157894737,0.5,0.222222222
Kinases,PB,Describe the NMR method used to identify the p38 kinase conformation.,0.037037037,0.041666667,0.04,0.041666667,0.166666667,0.026315789
Kinases,DM,What algorithmic bottleneck do GAT networks address? ,0.047619048,0.105263158,0.04,0.105263158,0.5,0.090909091
Kinases,DM,Explain the difference between transductive and inductive tasks in the context of graph neural networks.,0.333333333,0.692307692,0.3125,0.615384615,0.428571429,0.388888889
Kinases,DM,How does the GAT mechanism work in graph-neural networks? Summarize the individual steps of the algorithm.,0.083333333,0.166666667,0.0625,0.166666667,1,0.3
Kinases,DM,What is the EFFECT benchmark suite?,0.307692308,0.214285714,0.0625,0.214285714,0.375,0.125
Kinases,DM,How does the EFFECT benchmark suite control for dataset biases when evaluating cancer dependency predictors?,0.052631579,0.157894737,0.043478261,0.157894737,0.090909091,0.090909091
Kinases,DM,What practical guideline do the authors from the EFFECT benchmark suite suggest to critically evaluate ML models?,0.058823529,0.363636364,0.285714286,0.363636364,0.5,0.538461538
Kinases,DM,Why is a systematic evaluation and comparison of performance of methods for cancer survival and gene essentiality needed?,0.02,0.023255814,0.023809524,0.023255814,0.333333333,0.130434783
Kinases,DM,What confounding biases are present in cancer depedency datasets and how do they influecne objective comparison of prediction methods?,0.307692308,0.035714286,0.307692308,0.035714286,0.333333333,0.380952381
Kinases,DM,Summarize the state of the art of machine-learning methods currently in use to predict cancer dependencies from DepMap data.,0.1,0.130434783,0.307692308,0.130434783,0.6,0.333333333
Kinases,DM,What are the main advantages of SSS compared to transformer based architectures?,0.052631579,0.025641026,0.058823529,0.076923077,1,0.058823529
Kinases,DM,What sources contribute to RNA-seq profiles being very different between patient derived cancer samples and CCLE samples?,0.020408163,0.026315789,0.025,0.026315789,0.083333333,0.2
Kinases,DM,Explain how celligner results allow to analyze cancer sub-type organisation. ,0.157894737,0.470588235,0.35,0.470588235,0.384615385,0.157894737
Kinases,DM,Does Celligner perform equally well on all cancer types?,0.066666667,0.071428571,0.0625,0.071428571,0.055555556,0.05
Kinases,DM,What do you think are the weaknesses and limitations of Masif? Can you suggest ideas to address them?,0.166666667,0.363636364,0.033333333,0.363636364,0.2,0.076923077
Kinases,DM,How does Masif compare to other state of the art methods for large scale docking? What are these methods and which metrics were used for the comparison?,0.538461538,0.5,0.5,0.5,1,0.714285714
Kinases,DM,"Summarize the workflow of MASIF, a deep-learning framework method to analyze protein surfaces and interactions.",0.266666667,0.25,0.173913043,0.333333333,0.428571429,0.266666667
Kinases,DM,What challenges are faced when trying to deploy a prediction model trained on CCLE data to cancer derived patient samples?,0.026315789,0.230769231,0.055555556,0.230769231,0.266666667,0.137931034
CAR-T,KI,How many cars were approved by FDA thus far to treat cancer? And which companies sell them? What cancers does  these FDA approved cars treat? Are these fda approved cars mono-/bi-/tri-/tetra-specific? What antigens do these fda approved cars target?,0.1875,0.058823529,0.043478261,0.058823529,0.6,0.055555556
CAR-T,KI,How much does it cost to treat cancer with CARs? Are there any cars designed in india?,0.285714286,0.235294118,0.277777778,0.235294118,1,0.210526316
CAR-T,KI,"How does linkers impact protein folding? Are there any evidence to demonstrate that linkers enhanced protein/CAR stability, folding, aggregation and expression?",0.473684211,0.183673469,0.130434783,0.12244898,0.25,0.107142857
CAR-T,KI,What are the limitations of CAR therapy? What strategies researchers adopt to researchers adopt to develop CARs to overcome these limitations?,0.5,0.1875,0.285714286,0.1875,0.5,0.25
CAR-T,KI,"Are there any CAR therapies approved for treating solid tumors? If yes, who designed it? If no, why is it hard to design a CAR for solid tumors?",0.072727273,0.05,0.090909091,0.05,0.6,0.181818182
CAR-T,KI,Are there any machine learning/deep learning/artificial intelligence methodologies carried on CAR proteins?,0.04,0.066666667,0.181818182,0.066666667,0.25,0.025
CAR-T,BLJ,Define a Chimeric antigen receptor (CAR),0.384615385,0.285714286,0.307692308,0.285714286,0.333333333,0.217391304
CAR-T,BLJ,List all viral transduction methods that have been used to introduce genetic material into T-cells to generate CAR-T cells,0.533333333,0.181818182,0.235294118,0.181818182,1,0.2
CAR-T,BLJ,What are the most promising CAR-T designs that go beyond monospecific constructs?,0.035714286,0.073170732,0.1875,0.073170732,0.066666667,0.142857143
CAR-T,BLJ,What are the biggest issues facing the development of better CAR-T therapies? Rank them in order of difficulty and provide examples with citations on all potential strategies to overcome these limitations. ,0.125,0.050847458,0.166666667,0.050847458,0.2,0.176470588
CAR-T,BLJ,What is known about the mechanism of mechanotransduction in transmitting a receptor binding event into a cellular signal? ,0.010869565,0.111111111,0.307692308,0.333333333,0.2,0.088888889
CAR-T,BLJ,How does the composition of the hinge region affect the efficiency of signal transduction in CARs.,0.25,0.142857143,0.166666667,0.142857143,0.333333333,0.214285714
CAR-T,BLJ,How does the composition of the hinge region affect the efficiency target cell killing in CARs.,0.375,0.2,0.227272727,0.2,0.2,0.185185185
CAR-T,BLJ,"List all cancer types that have been targeted by CARs, and list which antigens are targeted in each case. ",0.555555556,0.333333333,0.6,0.333333333,0.6,0.15
CAR-T,BLJ,"List all CARs that are approved by the FDA, and for which cancer their use is approved for.",0.088235294,0.125,0.052631579,0.125,0.25,0.210526316
CAR-T,BLJ,Which promoters have been used to drive CAR expression? Create an exhaustive list. ,0.2,0.1,0.3,0.1,0.333333333,0.25
CAR-T,BLJ,List the normal cell types that cause off-target effects with CARs and explain why off-target effects occur. ,0.235294118,0.173913043,0.157894737,0.173913043,0.6,0.235294118
CAR-T,BLJ,Why are loop-CARs a superior design over tandem CARs?,0.176470588,0.285714286,0.375,0.285714286,0.25,0.157894737
CAR-T,BLJ,How do you match CAR expression level to antigen density?,0.035714286,0.125,0.15,0.125,0.2,0.032258065
CAR-T,BLJ,List all costimulatory domains that have been used in CAR constructs and list the Pros and Cons of each.,0.285714286,0.142857143,0.25,0.142857143,0.666666667,0.3
CAR-T,BLJ,How will single-cell RNA sequencing and related technologies affect the design of new CARs?,0.125,0.153846154,0.230769231,0.153846154,0.066666667,0.12
CAR-T,BLJ,What are the differences between B-cells and T-cells in terms of cell surface receptors?,0.014925373,0.014925373,0.023255814,0.014925373,0.571428571,0.088235294
CAR-T,VKC,What cancer type is the CAR-T targeting? ,0.045454545,0.035714286,0.066666667,0.035714286,0.125,0.0625
CAR-T,VKC,What is the size of the library used in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?,0.142857143,0.076923077,0.142857143,0.076923077,1,0.041666667
CAR-T,VKC,What assays have been discussed in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?,0.176470588,0.076923077,0.142857143,0.076923077,0.071428571,0.214285714
CAR-T,VKC,How many transgenes could be incorporated in T-cells?,0.047619048,0.05,0.083333333,0.15,0.1,0.022727273
CAR-T,VKC,What signal peptide did they use for membrane targeting in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?,0.05,0.043478261,0.03030303,0.043478261,0.25,0.076923077
CAR-T,VKC,Which ScFvs have been used in this study - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?,0.111111111,0.075,0.058823529,0.075,0.2,0.0625
CAR-T,VKC,What small molecule have been used to control the switch in the article - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?,0.210526316,0.016949153,0.210526316,0.016949153,0.375,0.266666667
CAR-T,VKC,What was the optimal concentration of the small molecule?,0.045454545,0.052631579,0.071428571,0.052631579,0.1,0.066666667
CAR-T,VKC,What potential advantages does the small-molecule cleaving system offer in comparison to traditional antibody adaptors for controlling mSA2 CAR T cell activity?,0.03030303,0.076923077,0.025,0.076923077,0.375,0.210526316
CAR-T,VKC,"What are the proposed methods for administering adaptors and controlling OFF-switch activity in vivo, particularly in mouse models, and how might these methods differ depending on whether its antibody adaptor pretreatment or simultaneous T cell and adaptor administration?",0.176470588,0.01369863,0.833333333,0.01369863,0.428571429,0.043478261
CAR-T,VKC,In what ways could the cleavable OFF-switch adaptor technology be further applied or generalized beyond controlling mSA2 CAR T cell activity?,0.235294118,0.06122449,0.111111111,0.06122449,0.25,0.272727273
CAR-T,VKC,What are some of the challenges in developing CAR T cells for treating solid tumors?,0.049180328,0.070175439,0.222222222,0.052631579,0.285714286,0.333333333
CAR-T,VKC,How does the concept of Boolean-logic AND-gate CAR T cells aim to address these challenges? ,0.214285714,0.12,0.235294118,0.12,0.25,0.176470588
CAR-T,VKC,"How does the LINK CAR system differ from other engineered CAR systems, such as SynNotch and SPLIT CAR, in terms of specificity, efficacy, and potential clinical applicability? ",0.15,0.1875,0.2,0.1875,0.25,0.285714286
CAR-T,VKC,"What advantages do proximal signaling CARs, such as ZAP-70 CARs, demonstrate over traditional CD3_ CARs in terms of reduced tonic signaling, T cell exhaustion, expansion, and persistence? ",0.210526316,0.291666667,0.222222222,0.291666667,0.333333333,0.266666667
CAR-T,VKC,What are the implications of the antigen-density thresholds for the functionality of the LINK CAR system?,0.05,0.157894737,0.05,0.157894737,0.333333333,0.058823529
CAR-T,VKC,How does the ProCAR platform utilize tumor-colonizing probiotics to guide the cytotoxicity of engineered T cells?,0.107142857,0.03030303,0.045454545,0.03030303,0.375,0.045454545
CAR-T,VKC,what are the key findings regarding its efficacy in mouse models of cancer? ,0.024390244,0.04494382,0.125,0.04494382,0.166666667,0.142857143
CAR-T,VKC,What challenges do current CAR T cell therapies face regarding antigen dependence? ,0.217391304,0.025,0.115384615,0.075,0.214285714,0.210526316
CAR-T,VKC,What advantages does the ProCAR system offer over other strategies for targeting solid tumors?,0.041666667,0.075,0.1875,0.075,0.2,0.125
IDR,VKC, how does ProCAR utilize bacteria to enhance tumor-specific target delivery?,0.096774194,0.0625,0.076923077,0.0625,0.25,0.157894737
IDR,BM,What is a KID domain?,0.047619048,0.173913043,0.238095238,0.130434783,0.333333333,0.277777778
IDR,BM,"Provide a list of disordered proteins that do not fit the classic structure-function paradigm, and briefly list their relevant propeties.",0.085714286,0.069767442,0.142857143,0.069767442,0.19047619,0.208333333
IDR,BM,Does the DNA-related function of LEF-1 involve the structural transition of the protein and the DNA?,0.214285714,0.02173913,0.137931034,0.02173913,0.25,0.148148148
IDR,BM,How long is the peptide required to bind to eIF4E?,0.076923077,0.076923077,0.058823529,0.076923077,0.333333333,0.25
IDR,BM,What does the structure-function paradigm state and why does it need to be re-assessed?,0.210526316,0.176470588,0.692307692,0.235294118,0.333333333,0.714285714
IDR,BM,What is the function of the disordered regions of myoglobin?,0.023809524,0.015625,0.055555556,0.015625,0.571428571,0.307692308
IDR,BM,Why are highly flexible proteins incompatible with our previous view of how structure and function are related? ,0.230769231,0.043478261,0.05,0.043478261,0.333333333,0.285714286
IDR,BM,What is a molten globue?,0.307692308,0.135135135,0.083333333,0.135135135,0.222222222,0.333333333
IDR,BM,List the main features of a protein sequence that will determine whether the sequence will or will not fold into a stable structure.,0.073170732,0.078947368,0.214285714,0.078947368,0.6,0.054545455
IDR,BM,Is the NCBD domain of CBP folded or disordered?,0.272727273,0.111111111,0.5,0.037037037,0.333333333,0.416666667
IDR,BM,Where are the leukaemia-related breakpoints located in CBP/p300?,0.071428571,0.022222222,0.024390244,0.022222222,0.333333333,0.230769231
IDR,BM,What are the functions that are enabled by the fact that disordered proteins do not have a stable structure?,0.076923077,0.051724138,0.166666667,0.051724138,0.75,0.142857143
IDR,BM,What is the role of the disordered protein HMGA1?,0.272727273,0.093023256,0.307692308,0.093023256,0.125,0.384615385
IDR,BM,What biological roles can disordered proteins fulfill thanks to their structural properties?,0.076923077,0.01754386,0.185185185,0.01754386,0.333333333,0.181818182
IDR,BM,What is a nanny protein?,0.05,0.01010101,0.058823529,0.01010101,0,0.121212121
IDR,BM,"Provide a list of ways IDPs are regulated, together with the implications of these reulatory mechanisms.",0.25,0.19047619,0.3125,0.142857143,0.375,0.210526316
IDR,BM,Is the tight regulation of dosage-sensitive genes linked to avoiding detrimental abundance of proteins?,0.107142857,0.125,0.307692308,0.041666667,0.428571429,0.222222222
IDR,BM,Which IDP-phosphorylating kinase is regulated in a cell cycle dependent manner?,0.027027027,0.0625,0.176470588,0.0625,0.5,0.033333333
IDR,BM,Why do IDPs have unique regulatory mechanisms compared to folded proteins?,0.294117647,0.357142857,0.416666667,0.357142857,0.363636364,0.533333333
IDR,BM,What is the effect of targeting the DEP domain of Dishevelled with peptides?,0.071428571,0.214285714,0.055555556,0.214285714,0.333333333,0.035714286
IDR,BM,The regulation of disordered proteins is characteristically different from that of ordered ones; explain the reasons for this!,0.06122449,0.2,0.1875,0.2,0.333333333,0.368421053
IDR,BM,What is ELM?,0.071428571,0.033333333,0.19047619,0.033333333,0.034482759,0.235294118
IDR,BM,What are the main attributes of short linear motifs?,0.235294118,0.166666667,0.2,0.166666667,0.037037037,0.235294118
IDR,BM,Is the motif LIG_PCNA present in archaea?,0.083333333,0.066666667,0.285714286,0.066666667,0.047619048,0.2
IDR,BM,What is the difference in charge and hydrophobicity between disordered proteins in general and Ligand motif instances?,0.15625,0.125,0.111111111,0.125,0.8,0.117647059
IDR,BM,"Why do short linear motifs typically reside in disordered protein regions, and what are the biological consequences of this?",0.047619048,0.027027027,0.2,0.027027027,0.333333333,0.238095238
IDR,BM,What are degradation motifs (degrons)?,0.176470588,0.058823529,0.133333333,0.058823529,0.037037037,0.222222222
IDR,BM,Why is it biologically important that motifs are commonly found in unstructred parts of proteins?,0,0,0.102564103,0,0.25,0.04
IDR,BM,What are PTMs?,0.260869565,0.235294118,0.25,0.294117647,0.25,0.307692308
