question,distances,mean_distance,relevance_score
"Which sequence or structural motifs differentiate neutral, G protein and _arrestin-biased GPCRs? ",149.895;151.819;154.962,152.23,0.77
"Which regions of GPCR modulate ligand efficacy and which potency?",147.951;170.765;181.149,166.62,0.74
"How do human and mouse TAAR1 differentiate between different ligands?",93.616;122.886;126.396;139.461,120.59,0.84
"What is the basis of polypharmacology on TAAR1 receptors?",134.988;142.664;165.465,147.71,0.78
"Do different ligands on the TAAR1 receptor induce different G protein signaling?",118.848;123.998;125.427;140.052,127.08,0.83
"In which physiological or pathophysiological processes is TAAR1 signaling active?",167.458;172.749;200.023,180.08,0.71
"How are GPCR and kinase signaling connected?",159.887;168.727;168.767;168.839;170.597,167.36,0.74
"Which studies and how identified crosstalk between the GPCR and kinase signaling?",141.504;142.702;146.387,143.53,0.79
"In which therapeutic areas we could target RTK/GPCR crosstalk?",152.282;168.125;188.896,169.77,0.73
"What is the mechanism of GPCR-related gene transcription? ",183.608;194.237;199.934,192.59,0.68
"Which G-proteins have been assayed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",107.134;115.911;123.821,115.62,0.85
"What is the read-out of the sensors in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",137.46;181.849;196.493,171.93,0.73
"What is the cell-line in which the sensor has been validated in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",140.72;153.944;164.096,152.92,0.77
"Is the sensor multiplexed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",115.465;163.135;165.379;185.083,157.27,0.76
"How much dynamic range was achieved with this sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",166.873;169.638;182.367,172.96,0.73
"Was the sensor engineered further in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",133.266;152.119;161.701,149.03,0.78
"Which signaling molecule does the sensor measure in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",166.713;167.483;169.305;173.806,169.33,0.73
"How much is the specificity achieved in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",132.792;145.676;152.62;161.776,148.22,0.78
"Which transcription factor response element has been used for the sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",160.112;164.141;165.926;172.14;186.212,169.71,0.73
"Which model system has been used in the work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",79.54;138.759;145.457,121.25,0.84
"How many GPCRs have been targeted  in this paper - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",96.971;107.009;123.024,109.00,0.87
"Which molecules have been tested for the sensor response in this article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",110.98;150.891;151.529,137.80,0.80
"Did they build a stable cell-line for this work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",88.976;120.283;123.129;132.689;146.254,122.27,0.84
"What was the rate of false-positive in the article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",157.797;188.462;189.977;192.773,182.25,0.71
"What are the key capabilities and features of the G-protein activity biosensors?",134.004;135.263;141.967;149.35,140.15,0.80
"What are some potential limitations of the biosensor design mentioned in the article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?",127.962;139.889;152.319,140.06,0.80
"How does the expression level of the biosensors impact normal G-protein signaling? ",135.461;146.719;150.738;161.945,148.72,0.78
"Does levels of biosensor expression interfere with downstream signaling pathways?",182.338;194.099;197.451;206.75;226.207,201.37,0.66
"Are any beta-arrestins measured in this article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?",125.28;130.34;153.249,136.29,0.81
"What is the CRISPR-coupled GPCR ChaCha system? ",134.086;134.609;145.687,138.13,0.80
"What ligands can activate the CRISPR ChaCha systems?",135.031;152.321;154.292;158.361,150.00,0.78
"What advantages does the ChaCha system offer over the Tango architecture? ",321.835;331.42;348.62;292.007;310.69;312.806,319.56,0.40
"What are the limitations of the CRISPR ChaCha system? ",192.532;214.716;220.925,209.39,0.65
"Which other systems can CRISPR ChaCha be applied to?",192.914;193.308;200.026,195.42,0.68
"What are the proofs of pathogenic gain-of-mutations can shift the equilibrium towards the active state in FGFRs?",150.211;155.413;155.775;160.492,155.47,0.77
"List all the FGFR mutations that were used in the experiments.",167.315;192.273;193.526;201.861,188.74,0.69
"Which FGFR2 mutant has the lowest substrate phosphorylation activity?",178.874;181.501;183.297;186.087,182.44,0.71
"Is there any binding data about FGFR2 kinase domain and C-terminal interaction? If yes, list the binding affinity values too.",155.295;163.317;166.641;170.053,163.83,0.75
"What is the interaction mechanism between FGFR2, SHP2 and PLC_1? Summarize it in a bulleted list.",124.338;132.349;132.917;137.981,131.90,0.82
"Provide me all the affinity binding data for FGFR2 ï¿½ SHP2, FGFR2 - PLC_1, FGFR8 ï¿½ SHP2 and SHP2 - PLC_1.",178.404;181.318;184.649,181.46,0.71
"What things can affect the interaction between FGFR2 and SHP2?",132.302;140.641;142.275;147.726,140.74,0.80
"How can be the FGFR2-SHP2 interaction affected?",128.852;133.177;134.568;142.922,134.88,0.81
"What is the difference between a canonical and non-canonical SH2 domain interaction?",264.976;250.299;262.307;262.357;268.445;275.525,263.98,0.52
"Provide a bulleted list of the main findings from the paper ï¿½Group I and II mammalian PAKs have different modes of activation by Cdc42ï¿½. ",109.734;128.176;147.672,128.53,0.83
"Does regulatory domain inhibit PAK4?",149.635;162.319;170.271,160.74,0.75
"What are the Kd values for peptide binding of PAK4? ",174.07;181.04;191.4;204.766,187.82,0.69
"List me the construct boundaries of PAK4 in the experiments.",222.042;233.136;235.262,230.15,0.60
"List me the PAK4 construct boundaries in the experiments.",229.458;238.63;240.497,236.20,0.59
"What is known about the inhibition and activation of PAK4?",146.278;148.469;161.845,152.20,0.77
"What is known about PAK4 structure?",220.248;221.887;227.913,223.35,0.61
"Is there any interaction between PAKs and FGFRs?",251.647;282.335;282.895,272.29,0.51
"What is the main substrate of MNK1 kinase?",271.794;275.759;279.127,275.56,0.50
"How many variants of PAK, FGFR and MASP exist in the human body? List me the names too.",212.629;227.289;234.612,224.84,0.61
"Does the study suggest that  the regions with low modeled confidence, as predicted by AF2, undergo significant atomic displacement?",225.501;236.362;237.571;243.829;252.683,239.19,0.58
"Were any notable differences observed in the conformational landscape of AlphaFold2 predicted protein kinase structures as compared to the experimentally determined structures?                         OR                                                                                                                         Did the study identify significant disparities in the conformational landscape between AlphaFold2-predicted protein kinase structures and experimentally determined ones?",99.914;99.833;105.729;129.741,108.80,0.87
"Does combining a shallow MSA with state annotated templates achieve accuracy in predicting the active state of kinase?",186.426;186.654;186.677;196.713,189.12,0.69
"How does the proposed pipeline address neural network biases and biases towards specific structural conformations within the AlphaFold2 training set?",164.221;184.416;195.813,181.48,0.71
"Tabulate the different ligand types in kinase  and their associated details.",175.249;176.69;184.422,178.79,0.71
"Provide the number of unique ligands in each combination of conformation and ligand type.",206.075;211.087;218.3,211.82,0.64
"What does MMS stand for?",330.092;357.186;363.844,350.37,0.33
"How does the benzylamine group impact target selectivity?",260.585;233.513;244.09;250.861,247.26,0.56
"What did the high-resolution structures of CAK-bound pyrazolopyrimidine inhibitor complexes unravel?",76.038;128.642;135.072;151.758,122.88,0.84
"What new perspective about the signalling events of the CDK1, CDK2, CDK4 and CDK6 kinase subfamilies did the work decipher?",166.05;185.799;190.56,180.80,0.71
"How many sites of the  human Ser/Thr phosphoproteome were annotated?",110.785;157.962;169.545,146.10,0.79
"Is chemical proteomics an infalliable approach? Give pointwise justification.                                                                                           OR                                                                                                                                                                                                            Should chemical proteomics be used? Give point wise justification.",184.222;208.141;219.025,203.80,0.66
"How was machine learning used in the current study?",256.221;272.013;274.374;277.954,270.14,0.51
"Define the different kinase conformations?",156.451;161.64;173.583,163.89,0.75
"What are the steps in the Foldseek method?",245.082;264.093;267.739;276.037,263.24,0.53
"Provide rationale for determining which of the two methods, AlphaFold2 or Foldseek, exhibits superior performance.",171.587;190.161;206.118,189.29,0.69
"What is the novelty of this paper - "NMR 2020 Science Babis- Conformational states dynamically populated by a kinase determine its function"?",143.584;157.69;172.424,157.90,0.76
"Describe the NMR method used to identify the p38 kinase conformation.",202.149;198.524;199.466;207.891,202.01,0.66
"What algorithmic bottleneck do GAT networks address? ",269.319;272.087;274.62;279.97,274.00,0.50
"Explain the difference between transductive and inductive tasks in the context of graph neural networks.",223.28;228.836;236.111,229.41,0.60
"How does the GAT mechanism work in graph-neural networks? Summarize the individual steps of the algorithm.",161.68;185.372;185.691;192.116,181.21,0.71
"What is the EFFECT benchmark suite?",258.672;290.374;298.273,282.44,0.48
"How does the EFFECT benchmark suite control for dataset biases when evaluating cancer dependency predictors?",168.097;179.16;196.046,181.10,0.71
"What practical guideline do the authors from the EFFECT benchmark suite suggest to critically evaluate ML models?",188.971;191.799;196.328;205.657,195.69,0.68
"Why is a systematic evaluation and comparison of performance of methods for cancer survival and gene essentiality needed?",214.905;215.776;225.139,218.61,0.63
"What confounding biases are present in cancer depedency datasets and how do they influecne objective comparison of prediction methods?",140.33;168.754;171.604;182.899,165.90,0.74
"Summarize the state of the art of machine-learning methods currently in use to predict cancer dependencies from DepMap data.",156.124;158.329;159.305;167.227,160.25,0.76
"What are the main advantages of SSS compared to transformer based architectures?",282.727;286.988;294.6,288.10,0.47
"What sources contribute to RNA-seq profiles being very different between patient derived cancer samples and CCLE samples?",206.909;214.014;214.794,211.91,0.64
"Explain how celligner results allow to analyze cancer sub-type organisation. ",163.891;169.277;177.539,170.24,0.73
"Does Celligner perform equally well on all cancer types?",149.724;183.973;186.191;189.402,177.32,0.72
"What do you think are the weaknesses and limitations of Masif? Can you suggest ideas to address them?",293.369;297.03;303.161,297.85,0.45
"How does Masif compare to other state of the art methods for large scale docking? What are these methods and which metrics were used for the comparison?",172.925;181.271;232.924,195.71,0.68
"Summarize the workflow of MASIF, a deep-learning framework method to analyze protein surfaces and interactions.",104.303;105.91;109.1;123.586,110.72,0.87
"What challenges are faced when trying to deploy a prediction model trained on CCLE data to cancer derived patient samples?",194.452;201.248;201.288;201.625;205.992,200.92,0.66
"How many cars were approved by FDA thus far to treat cancer? And which companies sell them? What cancers does  these FDA approved cars treat? Are these fda approved cars mono-/bi-/tri-/tetra-specific? What antigens do these fda approved cars target?",141.168;162.669;166.226,156.69,0.76
"How much does it cost to treat cancer with CARs? Are there any cars designed in india?",221.355;222.456;235.443,226.42,0.61
"How does linkers impact protein folding? Are there any evidence to demonstrate that linkers enhanced protein/CAR stability, folding, aggregation and expression?",150.617;152.525;161.463,154.87,0.77
"What are the limitations of CAR therapy? What strategies researchers adopt to researchers adopt to develop CARs to overcome these limitations?",155.719;177.529;182.379;182.379,174.50,0.72
"Are there any CAR therapies approved for treating solid tumors? If yes, who designed it? If no, why is it hard to design a CAR for solid tumors?",163.121;164.509;169.433;169.433,166.62,0.74
"Are there any machine learning/deep learning/artificial intelligence methodologies carried on CAR proteins?",215.629;233.914;234.748;239.501,230.95,0.60
"Define a Chimeric antigen receptor (CAR)",130.188;130.188;130.22;143.187,133.45,0.81
"List all viral transduction methods that have been used to introduce genetic material into T-cells to generate CAR-T cells",131.904;153.196;153.196;156.59,148.72,0.78
"What are the most promising CAR-T designs that go beyond monospecific constructs?",217.39;224.983;224.983;225.165;225.626;225.626,223.96,0.61
"What are the biggest issues facing the development of better CAR-T therapies? Rank them in order of difficulty and provide examples with citations on all potential strategies to overcome these limitations. ",159.671;168.333;185.657,171.22,0.73
"What is known about the mechanism of mechanotransduction in transmitting a receptor binding event into a cellular signal? ",245.912;252.23;254.454,250.87,0.55
"How does the composition of the hinge region affect the efficiency of signal transduction in CARs.",140.529;146.978;146.978;180.197,153.67,0.77
"How does the composition of the hinge region affect the efficiency target cell killing in CARs.",142.543;164.472;164.472;169.201;180.248;199.807,170.12,0.73
"List all cancer types that have been targeted by CARs, and list which antigens are targeted in each case. ",133.22;140.858;150.859,141.65,0.80
"List all CARs that are approved by the FDA, and for which cancer their use is approved for.",208.191;214.418;220.564,214.39,0.63
"Which promoters have been used to drive CAR expression? Create an exhaustive list. ",279.659;281.517;282.501;284.392,282.02,0.48
"List the normal cell types that cause off-target effects with CARs and explain why off-target effects occur. ",199.292;201.393;201.396;202.224;203.08;205.573;213.196,203.74,0.66
"Why are loop-CARs a superior design over tandem CARs?",273.211;289.196;296.853,286.42,0.47
"How do you match CAR expression level to antigen density?",199.252;200.131;203.28;210.561,203.31,0.66
"List all costimulatory domains that have been used in CAR constructs and list the Pros and Cons of each.",220.452;233.651;239.466;249.847,235.85,0.59
"How will single-cell RNA sequencing and related technologies affect the design of new CARs?",203.758;203.758;215.132,207.55,0.65
"What are the differences between B-cells and T-cells in terms of cell surface receptors?",235.912;259.454;259.759;261.549,254.17,0.55
"What cancer type is the CAR-T targeting? ",166.69;168.139;174.293,169.71,0.73
"What is the size of the library used in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",170.622;172.53;174.028;175.549,173.18,0.73
"What assays have been discussed in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",121.985;123.824;125.406;132.32,125.88,0.83
"How many transgenes could be incorporated in T-cells?",203.767;206.555;217.096,209.14,0.65
"What signal peptide did they use for membrane targeting in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",138.432;140.551;142.338;145.588;150.582,143.50,0.79
"Which ScFvs have been used in this study - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",140.797;143.239;150.27;160.315,148.66,0.78
"What small molecule have been used to control the switch in the article - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",119.465;125.109;130.547,125.04,0.83
"What was the optimal concentration of the small molecule in the article - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",146.484;147.978;153.151;158.534,151.54,0.77
"What potential advantages does the small-molecule cleaving system offer in comparison to traditional antibody adaptors for controlling mSA2 CAR T cell activity?",133.604;134.245;151.884,139.91,0.80
"What are the proposed methods for administering adaptors and controlling OFF-switch activity in vivo, particularly in mouse models, and how might these methods differ depending on whether it's antibody adaptor pretreatment or simultaneous T cell and adaptor administration?",157.565;145.179;155.3;156.104;171.651,157.16,0.76
"In what ways could the cleavable OFF-switch adaptor technology be further applied or generalized beyond controlling mSA2 CAR T cell activity?",80.911;119.781;136.444,112.38,0.86
"What are some of the challenges in developing CAR T cells for treating solid tumors?",79.137;99.551;106.339;106.339,97.84,0.89
"How does the concept of Boolean-logic AND-gate CAR T cells aim to address these challenges? ",124.158;143.056;147.813,138.34,0.80
"How does the LINK CAR system differ from other engineered CAR systems, such as SynNotch and SPLIT CAR, in terms of specificity, efficacy, and potential clinical applicability? ",194.978;196.583;204.617,198.73,0.67
"What advantages do proximal signaling CARs, such as ZAP-70 CARs, demonstrate over traditional CD3_ CARs in terms of reduced tonic signaling, T cell exhaustion, expansion, and persistence? ",93.305;124.091;125.471,114.29,0.86
"What are the implications of the antigen-density thresholds for the functionality of the LINK CAR system?",197.91;198.336;206.265,200.84,0.66
"How does the ProCAR platform utilize tumor-colonizing probiotics to guide the cytotoxicity of engineered T cells?",101.145;105.76;112.151,106.35,0.87
"what are the key findings regarding its efficacy in mouse models of cancer? ",187.816;189.731;190.883;192.423,190.21,0.69
"What challenges do current CAR T cell therapies face regarding antigen dependence? ",118.359;135.334;143.086,132.26,0.82
"What advantages does the ProCAR system offer over other strategies for targeting solid tumors?",200.764;203.475;207.623;213.665,206.38,0.65
" how does ProCAR utilize bacteria to enhance tumor-specific target delivery?",127.417;167.44;171.515,155.46,0.77
"What is a KID domain?",350.51;365.016;371.157,362.23,0.31
"Provide a list of disordered proteins that do not fit the classic structure-function paradigm, and briefly list their relevant propeties.",138.932;141.42;153.319,144.56,0.79
"Does the DNA-related function of LEF-1 involve the structural transition of the protein and the DNA?",129.499;215.397;215.707;227.026,196.91,0.67
"How long is the peptide required to bind to eIF4E?",206.538;208.739;217.206,210.83,0.64
"What does the structure-function paradigm state and why does it need to be re-assessed?",229.705;254.386;263.78;273.968,255.46,0.54
"What is the function of the disordered regions of myoglobin?",217.563;220.532;228.989,222.36,0.62
"Why are highly flexible proteins incompatible with our previous view of how structure and function are related? ",187.636;189.929;200.351,192.64,0.68
"What is a molten globue?",241.006;270.98;272.741;287.229;344.901,283.37,0.48
"List the main features of a protein sequence that will determine whether the sequence will or will not fold into a stable structure.",154.913;171.338;174.239;188.116,172.15,0.73
"Is the NCBD domain of CBP folded or disordered?",158.991;146.672;162.733;184.849,163.31,0.75
"Where are the leukaemia-related breakpoints located in CBP/p300?",215.25;239.969;251.728,235.65,0.59
"What are the functions that are enabled by the fact that disordered proteins do not have a stable structure?",136.235;150.945;151.124;156.813,148.78,0.78
"What is the role of the disordered protein HMGA1?",272.91;275.994;276.265;277.553;280.026;284.673,277.90,0.49
"What biological roles can disordered proteins fulfill thanks to their structural properties?",169.081;141.462;154.385,154.98,0.77
"What is a nanny protein?",368.24;372.97;387.457,376.22,0.28
"Provide a list of ways IDPs are regulated, together with the implications of these reulatory mechanisms.",139.916;141.009;144.423;152.585;167.709,149.13,0.78
"Is the tight regulation of dosage-sensitive genes linked to avoiding detrimental abundance of proteins?",102.439;127.355;178.2,136.00,0.81
"Which IDP-phosphorylating kinase is regulated in a cell cycle dependent manner?",183.173;202.479;205.511,197.05,0.67
"Why do IDPs have unique regulatory mechanisms compared to folded proteins?",151.644;156.95;158.037;165.343,157.99,0.76
"What is the effect of targeting the DEP domain of Dishevelled with peptides?",220.503;227.942;255.067,234.50,0.59
"The regulation of disordered proteins is characteristically different from that of ordered ones; explain the reasons for this!",150.677;150.863;155.577,152.37,0.77
"What is ELM?",318.635;319.961;320.939;330.545,322.52,0.39
"What are the main attributes of short linear motifs?",267.448;268.324;275.706,270.49,0.51
"Is the motif LIG_PCNA present in archaea?",247.788;248.792;253.168;262.75,253.12,0.55
"What is the difference in charge and hydrophobicity between disordered proteins in general and Ligand motif instances?",147.25;154.278;163.863,155.13,0.77
"Why do short linear motifs typically reside in disordered protein regions, and what are the biological consequences of this?",157.321;161.383;163.79;176.451,164.74,0.75
"What are degradation motifs (degrons)?",255.161;255.895;280.201,263.75,0.52
"Why is it biologically important that motifs are commonly found in unstructred parts of proteins?",181.099;184.07;187.088,184.09,0.70
"What are PTMs?",296.953;327.472;344.58;392.174,340.29,0.35
"List the main factors that can initiate the transition of a protein between a folded and an unfolded state?",172.124;196.485;197.714;204.6,192.73,0.68
"Can interactions with a small molecule unfold a protein?",186.393;199.374;214.407,200.06,0.67
"How much surface area is buried during the dimerization of HdeA?",258.303;280.085;310.96,283.12,0.48
"What are the main differences between passive and active factors that can induce the unfolding of proteins?",145.767;157.705;204.849,169.44,0.73
"What induces the unfolding of the cytoplasmic tails of integrins?",217.405;223.403;225.398;230.683,224.22,0.61
"What is the basis of differentiating two kinds of factors that can change the structural states of conditionally unfolded proteins?",185.081;192.338;194.258,190.56,0.69
"What is an NLS?",453.313;466.612;466.663;469.894;473.282,465.95,0.08
"Give a summary of the main functions of short liear motifs in the human proteome!",186.696;196.851;201.225;206.584,197.84,0.67
"Do human phosphorylation sites predominantly reside in ordered regions of proteins?",164.772;168.569;180.491,171.28,0.73
"How many motifs are estimated to exist in the human proteome?",99.243;123.906;137.008,120.05,0.84
"How do different motifs play a role in the general function of various proteins?",159.695;166.61;169.017,165.11,0.74
"What are the motifs present in human CBP?",195.478;202.368;218.909,205.59,0.65
"What is the effect that the presence of a motif exerts on the fate of the full protein?",175.154;194.386;202.877,190.81,0.69
"What are RHIM sequences?",391.928;406.051;407.362;410.029,403.84,0.21
"What are the key ways in which post-translational modifications regulate disordered proteins?",140.939;143.293;144.85;157.741,146.71,0.79
"Does p120 catenin regulate cell adhesion?",204.658;224.968;230.476;244.68,226.20,0.61
"What signaling is affected by MSI-1436?",311.035;236.687;297.491;303.29,287.13,0.47
"What are the special biophysical and cellular features of how disordered proteins interact with their partners?",159.489;161.262;163.453;167.52;174.513,165.25,0.74
"How is the binding of the LAT protein regulated?",275.251;282.944;295.787,284.66,0.48
"In a physical and biological sense, what makes the protein-protein interaction modes of disordered proteins special?",163.527;165.417;167.94;171.309,167.05,0.74
"What is CALVADOS?",373.689;409.921;425.794,403.13,0.22
"What are the main steps to computationally generating conformational ensembles of disordered proteins?",146.762;172.025;177.059;191.906,171.94,0.73
"Are compact IDRs generally longer than extended IDRs?",235.191;246.993;272.879,251.69,0.55
"How many disordered regions were identified in the human proteome?",154.208;164.988;171.598,163.60,0.75
"What are the effects of the compaction of disordered proteins on their biological functions?",162.044;195.907;201.621,186.52,0.70
"What is the compaction of human p53?",232.68;242.369;246.675;251.358;262.406,247.10,0.56
"How is the biological role of a disordered protein dependent on the degree to which it has a compact overall structure?",152.987;161.309;165.191;178.564,164.51,0.75
"What is CoA?",318.935;331.671;331.841;333.256;342.305;353.527,335.26,0.37
"What is acetyl-CoA?",205.013;219.643;227.013,217.22,0.63
"What is succinyl-CoA?",205.753;199.931;208.295,204.66,0.66
"What reactions does SIRT5 catalyze?",197.71;198.067;198.568;209.089,200.86,0.66
"What is lysine acylation?",194.937;202.54;210.357;220.277,207.03,0.65
"What is lysine acetylation?",178.05;180.688;181.501;185.29;190.132,183.13,0.70
"Where, within cells, is succinyl-CoA found?",166.526;168.196;175.654,170.13,0.73
"What species is succinyl-CoA found in?",183.533;187.094;192.301,187.64,0.69
"What processes do lysine acylations regulate?",162.142;176.143;177.539;180.578;185.269,176.33,0.72
"Where, within proteins, does lysine acetylation happen?",148.988;150.406;165.23,154.87,0.77
"Are there lysine acylation reader domains in bacteria?",145.403;168.148;179.281,164.28,0.75
"What lysine acylation reader domains are known in mammals?",170.829;174.139;189.459,178.14,0.72
"What enzymes succinylate lysines outside of mitochondria, and where does their succinyl-CoA come from?",104.822;112.717;126.81,114.78,0.86
"What PTM does succinylation overlap with, and to what percentage?",234.684;234.764;238.542,236.00,0.59
"What evidence is there for demalonylation by SIRT5?",165.381;168.778;172.921,169.03,0.74
"Is there a known "writer" enzyme for lysine malonylation?",151.542;155.528;189.425,165.50,0.74
"What's a possible source of non-enzymatic lysine acetylation?",155.723;157.877;163.988,159.20,0.76
"What species does acetylphosphate-dependent lysine acetylation occur in?",177.706;191.291;192.716;197.172,189.72,0.69
"What acylation-related enzymes are used by pathogenic bacteria to attack their hosts?",182.955;184.953;194.787,187.57,0.69
"What does alpha-ketoglutarate do in the context of lysine acylations?",164.696;189.177;192.849;197.352,186.02,0.70
