question,distances,mean_distance,relevance_score
"What are the limitations of the CRISPR ChaCha system? ",0.716;0.735;0.769,0.74,1.11
"Which other systems can CRISPR ChaCha be applied to?",0.598;0.612;0.615;0.731,0.64,1.11
"What are the proofs of pathogenic gain-of-mutations can shift the equilibrium towards the active state in FGFRs?",0.783;0.838;0.88,0.83,1.11
"List all the FGFR mutations that were used in the experiments.",0.789;0.796;0.804,0.80,1.11
"Which FGFR2 mutant has the lowest substrate phosphorylation activity?",0.654;0.671;0.691,0.67,1.11
"Is there any binding data about FGFR2 kinase domain and C-terminal interaction? If yes, list the binding affinity values too.",0.713;0.792;0.796;0.846,0.79,1.11
"What is the interaction mechanism between FGFR2, SHP2 and PLC_1? Summarize it in a bulleted list.",0.571;0.674;0.708,0.65,1.11
"Provide me all the affinity binding data for FGFR2 ï¿½ SHP2, FGFR2 - PLC_1, FGFR8 ï¿½ SHP2 and SHP2 - PLC_1.",0.811;0.831;0.847;0.866,0.84,1.11
"What things can affect the interaction between FGFR2 and SHP2?",0.567;0.593;0.642;0.693,0.62,1.11
"How can be the FGFR2-SHP2 interaction affected?",0.529;0.579;0.629,0.58,1.11
"What is the difference between a canonical and non-canonical SH2 domain interaction?",1.037;1.058;1.082;1.135,1.08,1.11
"Provide a bulleted list of the main findings from the paper ï¿½Group I and II mammalian PAKs have different modes of activation by Cdc42ï¿½. ",0.36;0.505;0.688,0.52,1.11
"Does regulatory domain inhibit PAK4?",0.635;0.637;0.707,0.66,1.11
"What are the Kd values for peptide binding of PAK4? ",0.625;0.702;0.746,0.69,1.11
"List me the construct boundaries of PAK4 in the experiments.",0.837;0.88;0.914,0.88,1.11
"List me the PAK4 construct boundaries in the experiments.",0.893;0.942;0.968,0.93,1.11
"What is known about the inhibition and activation of PAK4?",0.491;0.584;0.62;0.673,0.59,1.11
"What is known about PAK4 structure?",0.731;0.76;0.826,0.77,1.11
"Is there any interaction between PAKs and FGFRs?",0.879;0.899;0.928,0.90,1.11
"What is the main substrate of MNK1 kinase?",0.688;0.708;0.719;0.739,0.71,1.11
"How many variants of PAK, FGFR and MASP exist in the human body? List me the names too.",1.089;1.123;1.131;1.143,1.12,1.11
"Does the study suggest that  the regions with low modeled confidence, as predicted by AF2, undergo significant atomic displacement?",0.823;1.169;1.185,1.06,1.11
"Were any notable differences observed in the conformational landscape of AlphaFold2 predicted protein kinase structures as compared to the experimentally determined structures?                         OR                                                                                                                         Did the study identify significant disparities in the conformational landscape between AlphaFold2-predicted protein kinase structures and experimentally determined ones?",0.475;0.535;0.669,0.56,1.11
"Does combining a shallow MSA with state annotated templates achieve accuracy in predicting the active state of kinase?",0.825;0.845;0.901,0.86,1.11
"How does the proposed pipeline address neural network biases and biases towards specific structural conformations within the AlphaFold2 training set?",0.801;0.811;0.896,0.84,1.11
"Tabulate the different ligand types in kinase  and their associated details.",0.619;0.699;0.708;0.741,0.69,1.11
"Provide the number of unique ligands in each combination of conformation and ligand type.",0.808;0.847;0.871;0.911,0.86,1.11
"What does MMS stand for?",0.765;0.924;0.987,0.89,1.11
"How does the benzylamine group impact target selectivity?",0.852;0.858;0.905,0.87,1.11
"What did the high-resolution structures of CAK-bound pyrazolopyrimidine inhibitor complexes unravel?",0.445;0.699;0.704;0.715,0.64,1.11
"What new perspective about the signalling events of the CDK1, CDK2, CDK4 and CDK6 kinase subfamilies did the work decipher?",0.78;0.788;0.806;0.843,0.80,1.11
"How many sites of the  human Ser/Thr phosphoproteome were annotated?",0.62;0.912;0.928;0.972,0.86,1.11
"Is chemical proteomics an infalliable approach? Give pointwise justification.                                                                                           OR                                                                                                                                                                                                            Should chemical proteomics be used? Give point wise justification.",1.161;1.228;1.256,1.22,1.11
"How was machine learning used in the current study?",0.989;1.053;1.071,1.04,1.11
"Define the different kinase conformations?",0.499;0.514;0.521;0.532;0.559,0.53,1.11
"What are the steps in the Foldseek method?",0.832;0.94;0.999,0.92,1.11
"Provide rationale for determining which of the two methods, AlphaFold2 or Foldseek, exhibits superior performance.",0.69;0.852;0.925,0.82,1.11
"What is the novelty of this paper - "NMR 2020 Science Babis- Conformational states dynamically populated by a kinase determine its function"?",0.677;0.704;0.758,0.71,1.11
"Describe the NMR method used to identify the p38 kinase conformation.",0.778;0.781;0.795,0.78,1.11
"What algorithmic bottleneck do GAT networks address? ",0.95;0.985;0.99;1.018,0.99,1.11
"Explain the difference between transductive and inductive tasks in the context of graph neural networks.",0.759;0.899;0.913;0.947;0.99;1.125,0.94,1.11
"How does the GAT mechanism work in graph-neural networks? Summarize the individual steps of the algorithm.",0.761;0.933;0.953,0.88,1.11
"What is the EFFECT benchmark suite?",0.72;0.996;1.031;1.083,0.96,1.11
"How does the EFFECT benchmark suite control for dataset biases when evaluating cancer dependency predictors?",0.629;0.686;0.715;0.791,0.71,1.11
"What practical guideline do the authors from the EFFECT benchmark suite suggest to critically evaluate ML models?",0.892;0.899;0.907;0.915;0.924;0.971,0.92,1.11
"Why is a systematic evaluation and comparison of performance of methods for cancer survival and gene essentiality needed?",0.893;0.912;0.955,0.92,1.11
"What confounding biases are present in cancer depedency datasets and how do they influecne objective comparison of prediction methods?",0.762;0.787;0.841,0.80,1.11
"Summarize the state of the art of machine-learning methods currently in use to predict cancer dependencies from DepMap data.",0.788;0.872;0.874;0.903,0.86,1.11
"What are the main advantages of SSS compared to transformer based architectures?",1.014;1.067;1.073;1.099,1.06,1.11
"What sources contribute to RNA-seq profiles being very different between patient derived cancer samples and CCLE samples?",0.748;0.76;0.77;0.85,0.78,1.11
"Explain how celligner results allow to analyze cancer sub-type organisation. ",0.624;0.656;0.659;0.697,0.66,1.11
"Does Celligner perform equally well on all cancer types?",0.63;0.663;0.669,0.65,1.11
"What do you think are the weaknesses and limitations of Masif? Can you suggest ideas to address them?",0.904;0.966;0.998,0.96,1.11
"How does Masif compare to other state of the art methods for large scale docking? What are these methods and which metrics were used for the comparison?",0.88;0.911;0.944,0.91,1.11
"Summarize the workflow of MASIF, a deep-learning framework method to analyze protein surfaces and interactions.",0.503;0.608;0.628,0.58,1.11
"What challenges are faced when trying to deploy a prediction model trained on CCLE data to cancer derived patient samples?",0.929;0.978;0.997,0.97,1.11
"How many cars were approved by FDA thus far to treat cancer? And which companies sell them? What cancers does  these FDA approved cars treat? Are these fda approved cars mono-/bi-/tri-/tetra-specific? What antigens do these fda approved cars target?",0.59;0.632;0.697,0.64,1.11
"How much does it cost to treat cancer with CARs? Are there any cars designed in india?",0.724;0.756;0.774;0.804;0.84,0.78,1.11
"How does linkers impact protein folding? Are there any evidence to demonstrate that linkers enhanced protein/CAR stability, folding, aggregation and expression?",0.682;0.688;0.804,0.72,1.11
"What are the limitations of CAR therapy? What strategies researchers adopt to researchers adopt to develop CARs to overcome these limitations?",0.709;0.73;0.73;0.769,0.73,1.11
"Are there any CAR therapies approved for treating solid tumors? If yes, who designed it? If no, why is it hard to design a CAR for solid tumors?",0.621;0.729;0.729;0.75;0.777,0.72,1.11
"Are there any machine learning/deep learning/artificial intelligence methodologies carried on CAR proteins?",0.907;0.96;0.98,0.95,1.11
"Define a Chimeric antigen receptor (CAR)",0.494;0.507;0.558;0.558,0.53,1.11
"List all viral transduction methods that have been used to introduce genetic material into T-cells to generate CAR-T cells",0.621;0.643;0.689,0.65,1.11
"What are the most promising CAR-T designs that go beyond monospecific constructs?",0.823;0.879;0.879;0.892;0.916;0.916,0.88,1.11
"What are the biggest issues facing the development of better CAR-T therapies? Rank them in order of difficulty and provide examples with citations on all potential strategies to overcome these limitations. ",0.787;0.787;0.83;0.83,0.81,1.11
"What is known about the mechanism of mechanotransduction in transmitting a receptor binding event into a cellular signal? ",0.882;0.967;1.003,0.95,1.11
"How does the composition of the hinge region affect the efficiency of signal transduction in CARs.",0.758;0.758;0.818,0.78,1.11
"How does the composition of the hinge region affect the efficiency target cell killing in CARs.",0.782;0.782;0.847,0.80,1.11
"List all cancer types that have been targeted by CARs, and list which antigens are targeted in each case. ",0.479;0.55;0.563;0.636,0.56,1.11
"List all CARs that are approved by the FDA, and for which cancer their use is approved for.",0.653;0.802;0.822,0.76,1.11
"Which promoters have been used to drive CAR expression? Create an exhaustive list. ",0.867;0.951;1.006,0.94,1.11
"List the normal cell types that cause off-target effects with CARs and explain why off-target effects occur. ",0.735;0.81;0.851,0.80,1.11
"Why are loop-CARs a superior design over tandem CARs?",0.86;0.86;0.863;0.863,0.86,1.11
"How do you match CAR expression level to antigen density?",0.786;0.789;0.813,0.80,1.11
"List all costimulatory domains that have been used in CAR constructs and list the Pros and Cons of each.",0.931;0.947;0.959,0.95,1.11
"How will single-cell RNA sequencing and related technologies affect the design of new CARs?",0.836;0.837;0.859;0.859,0.85,1.11
"What are the differences between B-cells and T-cells in terms of cell surface receptors?",0.879;0.957;0.983;1.013,0.96,1.11
"What cancer type is the CAR-T targeting? ",0.49;0.545;0.553;0.571,0.54,1.11
"What is the size of the library used in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",0.416;0.557;0.624;0.694;0.785,0.62,1.11
"What assays have been discussed in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",0.29;0.426;0.47;0.614,0.45,1.11
"How many transgenes could be incorporated in T-cells?",0.824;0.875;0.886,0.86,1.11
"What signal peptide did they use for membrane targeting in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",0.522;0.63;0.669;0.723,0.64,1.11
"Which ScFvs have been used in this study - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",0.62;0.636;0.647;0.685,0.65,1.11
"What small molecule have been used to control the switch in the article - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",0.536;0.566;0.585,0.56,1.11
"What was the optimal concentration of the small molecule in the article - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",0.605;0.725;0.758,0.70,1.11
"What potential advantages does the small-molecule cleaving system offer in comparison to traditional antibody adaptors for controlling mSA2 CAR T cell activity?",0.486;0.679;0.734,0.63,1.11
"What are the proposed methods for administering adaptors and controlling OFF-switch activity in vivo, particularly in mouse models, and how might these methods differ depending on whether it's antibody adaptor pretreatment or simultaneous T cell and adaptor administration?",0.981;0.982;0.988,0.98,1.11
"In what ways could the cleavable OFF-switch adaptor technology be further applied or generalized beyond controlling mSA2 CAR T cell activity?",0.532;0.578;0.586;0.611;0.652,0.59,1.11
"What are some of the challenges in developing CAR T cells for treating solid tumors?",0.401;0.417;0.417;0.419;0.451,0.42,1.11
"How does the concept of Boolean-logic AND-gate CAR T cells aim to address these challenges? ",0.671;0.673;0.68;0.746,0.69,1.11
"How does the LINK CAR system differ from other engineered CAR systems, such as SynNotch and SPLIT CAR, in terms of specificity, efficacy, and potential clinical applicability? ",0.517;0.634;0.725,0.63,1.11
"What advantages do proximal signaling CARs, such as ZAP-70 CARs, demonstrate over traditional CD3_ CARs in terms of reduced tonic signaling, T cell exhaustion, expansion, and persistence? ",0.489;0.612;0.63;0.707,0.61,1.11
"What are the implications of the antigen-density thresholds for the functionality of the LINK CAR system?",0.613;0.709;0.709;0.713;0.725,0.69,1.11
"How does the ProCAR platform utilize tumor-colonizing probiotics to guide the cytotoxicity of engineered T cells?",0.385;0.517;0.518;0.546,0.49,1.11
"what are the key findings regarding its efficacy in mouse models of cancer? ",0.785;0.84;0.872,0.83,1.11
"What challenges do current CAR T cell therapies face regarding antigen dependence? ",0.446;0.503;0.504,0.48,1.11
"What advantages does the ProCAR system offer over other strategies for targeting solid tumors?",0.654;0.677;0.756,0.70,1.11
" how does ProCAR utilize bacteria to enhance tumor-specific target delivery?",0.437;0.521;0.544;0.592,0.52,1.11
"What is a KID domain?",1.156;1.323;1.34;1.367;1.403,1.32,1.11
"Provide a list of disordered proteins that do not fit the classic structure-function paradigm, and briefly list their relevant propeties.",0.735;0.762;0.764;0.784,0.76,1.11
"Does the DNA-related function of LEF-1 involve the structural transition of the protein and the DNA?",0.83;0.911;0.934,0.89,1.11
"How long is the peptide required to bind to eIF4E?",0.907;0.934;0.957;1.011,0.95,1.11
"What does the structure-function paradigm state and why does it need to be re-assessed?",0.877;0.95;0.963;1.081,0.97,1.11
"What is the function of the disordered regions of myoglobin?",0.793;0.867;0.902,0.85,1.11
"Why are highly flexible proteins incompatible with our previous view of how structure and function are related? ",0.733;0.739;0.761;0.811,0.76,1.11
"What is a molten globue?",0.687;0.848;0.973,0.84,1.11
"List the main features of a protein sequence that will determine whether the sequence will or will not fold into a stable structure.",0.803;0.817;0.854,0.82,1.11
"Is the NCBD domain of CBP folded or disordered?",0.835;0.849;0.859;0.918,0.87,1.11
"Where are the leukaemia-related breakpoints located in CBP/p300?",1.169;1.205;1.213;1.238,1.21,1.11
"What are the functions that are enabled by the fact that disordered proteins do not have a stable structure?",0.593;0.681;0.689;0.723,0.67,1.11
"What is the role of the disordered protein HMGA1?",0.846;0.852;0.875,0.86,1.11
"What biological roles can disordered proteins fulfill thanks to their structural properties?",0.62;0.643;0.654;0.667,0.65,1.11
"What is a nanny protein?",1.189;1.194;1.197;1.207;1.265,1.21,1.11
"Provide a list of ways IDPs are regulated, together with the implications of these reulatory mechanisms.",0.591;0.6;0.607;0.619;0.662;0.711,0.63,1.11
"Is the tight regulation of dosage-sensitive genes linked to avoiding detrimental abundance of proteins?",0.428;0.572;0.593;0.658,0.56,1.11
"Which IDP-phosphorylating kinase is regulated in a cell cycle dependent manner?",0.447;0.566;0.659,0.56,1.11
"Why do IDPs have unique regulatory mechanisms compared to folded proteins?",0.625;0.671;0.732,0.68,1.11
"What is the effect of targeting the DEP domain of Dishevelled with peptides?",1.027;1.029;1.078,1.04,1.11
"The regulation of disordered proteins is characteristically different from that of ordered ones; explain the reasons for this!",0.661;0.683;0.703,0.68,1.11
"What is ELM?",0.83;0.871;0.871;0.931;1.029,0.91,1.11
"What are the main attributes of short linear motifs?",0.747;0.911;0.962,0.87,1.11
"Is the motif LIG_PCNA present in archaea?",0.947;1.045;1.098,1.03,1.11
"What is the difference in charge and hydrophobicity between disordered proteins in general and Ligand motif instances?",0.519;0.69;0.764;0.863,0.71,1.11
"Why do short linear motifs typically reside in disordered protein regions, and what are the biological consequences of this?",0.746;0.762;0.763,0.76,1.11
"What are degradation motifs (degrons)?",0.894;1.026;1.087,1.00,1.11
"Why is it biologically important that motifs are commonly found in unstructred parts of proteins?",0.732;0.736;0.806,0.76,1.11
"What are PTMs?",1.015;1.021;1.083,1.04,1.11
"List the main factors that can initiate the transition of a protein between a folded and an unfolded state?",0.718;0.72;0.733;0.75,0.73,1.11
"Can interactions with a small molecule unfold a protein?",0.88;0.885;0.886;0.895;0.909,0.89,1.11
"How much surface area is buried during the dimerization of HdeA?",0.935;1.131;1.132;1.286,1.12,1.11
"What are the main differences between passive and active factors that can induce the unfolding of proteins?",0.641;0.74;0.749;0.878,0.75,1.11
"What induces the unfolding of the cytoplasmic tails of integrins?",1.044;1.093;1.101,1.08,1.11
"What is the basis of differentiating two kinds of factors that can change the structural states of conditionally unfolded proteins?",0.786;0.796;0.817,0.80,1.11
"What is an NLS?",1.302;1.352;1.359;1.422,1.36,1.11
"Give a summary of the main functions of short liear motifs in the human proteome!",1.026;1.118;1.15,1.10,1.11
"Do human phosphorylation sites predominantly reside in ordered regions of proteins?",0.605;0.78;0.814,0.73,1.11
"How many motifs are estimated to exist in the human proteome?",0.68;0.702;0.788,0.72,1.11
"How do different motifs play a role in the general function of various proteins?",0.651;0.675;0.677;0.717,0.68,1.11
"What are the motifs present in human CBP?",0.908;0.94;0.965;1.018,0.96,1.11
"What is the effect that the presence of a motif exerts on the fate of the full protein?",0.706;0.787;0.831,0.77,1.11
"What are RHIM sequences?",1.245;1.245;1.262;1.289;1.315,1.27,1.11
"What are the key ways in which post-translational modifications regulate disordered proteins?",0.684;0.695;0.705;0.738,0.71,1.11
"Does p120 catenin regulate cell adhesion?",0.71;0.749;0.826;0.995,0.82,1.11
"What signaling is affected by MSI-1436?",0.92;1.153;1.175,1.08,1.11
"What are the special biophysical and cellular features of how disordered proteins interact with their partners?",0.577;0.648;0.649;0.653,0.63,1.11
"How is the binding of the LAT protein regulated?",0.847;0.873;0.879,0.87,1.11
"In a physical and biological sense, what makes the protein-protein interaction modes of disordered proteins special?",0.604;0.613;0.637;0.689,0.64,1.11
"What is CALVADOS?",1.137;1.26;1.262;1.299,1.24,1.11
"What are the main steps to computationally generating conformational ensembles of disordered proteins?",0.589;0.736;0.748,0.69,1.11
"Are compact IDRs generally longer than extended IDRs?",0.701;0.823;0.87,0.80,1.11
"How many disordered regions were identified in the human proteome?",0.765;0.919;0.934;0.997,0.90,1.11
"What are the effects of the compaction of disordered proteins on their biological functions?",0.676;0.691;0.697;0.726,0.70,1.11
"What is the compaction of human p53?",1.059;1.082;1.115,1.09,1.11
"How is the biological role of a disordered protein dependent on the degree to which it has a compact overall structure?",0.661;0.692;0.723,0.69,1.11
"What is CoA?",0.895;0.908;0.919;0.931;0.966,0.92,1.11
"What is acetyl-CoA?",0.605;0.634;0.656,0.63,1.11
"What is succinyl-CoA?",0.546;0.628;0.693,0.62,1.11
"What reactions does SIRT5 catalyze?",0.61;0.629;0.64,0.63,1.11
"What is lysine acylation?",0.527;0.547;0.639,0.57,1.11
"What is lysine acetylation?",0.525;0.526;0.543,0.53,1.11
"Where, within cells, is succinyl-CoA found?",0.541;0.631;0.71,0.63,1.11
"What species is succinyl-CoA found in?",0.807;0.812;0.815;0.84,0.82,1.11
"What processes do lysine acylations regulate?",0.57;0.582;0.604;0.635,0.60,1.11
"Where, within proteins, does lysine acetylation happen?",0.429;0.449;0.495,0.46,1.11
"Are there lysine acylation reader domains in bacteria?",0.389;0.693;0.699;0.745,0.63,1.11
"What lysine acylation reader domains are known in mammals?",0.486;0.724;0.767,0.66,1.11
"What enzymes succinylate lysines outside of mitochondria, and where does their succinyl-CoA come from?",0.439;0.468;0.49;0.517,0.48,1.11
"What PTM does succinylation overlap with, and to what percentage?",0.97;0.982;1.044,1.00,1.11
"What evidence is there for demalonylation by SIRT5?",0.681;0.703;0.74,0.71,1.11
"Is there a known "writer" enzyme for lysine malonylation?",0.561;0.577;0.687,0.61,1.11
"What's a possible source of non-enzymatic lysine acetylation?",0.536;0.551;0.556;0.576,0.55,1.11
"What species does acetylphosphate-dependent lysine acetylation occur in?",0.587;0.646;0.652;0.661,0.64,1.11
"What acylation-related enzymes are used by pathogenic bacteria to attack their hosts?",0.859;0.902;0.913;0.928,0.90,1.11
"What does alpha-ketoglutarate do in the context of lysine acylations?",0.78;0.801;0.834,0.81,1.11
