question,distances,mean_distance,relevance_score
"Which model system has been used in the work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",0.533;0.668;0.821,0.67,0.69
"How many GPCRs have been targeted  in this paper - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",0.523;0.597;0.613,0.58,0.77
"Which molecules have been tested for the sensor response in this article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",0.519;0.647;0.653;0.712,0.63,0.72
"Did they build a stable cell-line for this work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",0.561;0.597;0.753,0.64,0.72
"What was the rate of false-positive in the article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",0.635;0.72;0.805,0.72,0.65
"What are the key capabilities and features of the G-protein activity biosensors?",0.685;0.693;0.705,0.69,0.67
"What are some potential limitations of the biosensor design mentioned in the article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?",0.457;0.484;0.623,0.52,0.82
"How does the expression level of the biosensors impact normal G-protein signaling? ",0.551;0.657;0.658;0.68;0.705,0.65,0.71
"Does levels of biosensor expression interfere with downstream signaling pathways?",0.742;0.749;0.824,0.77,0.61
"Are any beta-arrestins measured in this article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?",0.432;0.499;0.502;0.731,0.54,0.80
"What is the CRISPR-coupled GPCR ChaCha system? ",0.539;0.577;0.597,0.57,0.77
"What ligands can activate the CRISPR ChaCha systems?",0.61;0.617;0.663;0.747,0.66,0.70
"What advantages does the ChaCha system offer over the Tango architecture? ",0.825;0.839;0.873,0.85,0.55
"What are the limitations of the CRISPR ChaCha system? ",0.686;0.75;0.794,0.74,0.63
"Which other systems can CRISPR ChaCha be applied to?",0.58;0.645;0.703;0.789,0.68,0.68
"What are the proofs of pathogenic gain-of-mutations can shift the equilibrium towards the active state in FGFRs?",0.713;0.825;0.846;0.92,0.83,0.56
"List all the FGFR mutations that were used in the experiments.",0.846;0.85;0.891,0.86,0.53
"Which FGFR2 mutant has the lowest substrate phosphorylation activity?",0.646;0.682;0.683;0.687;0.732,0.69,0.68
"Is there any binding data about FGFR2 kinase domain and C-terminal interaction? If yes, list the binding affinity values too.",0.719;0.819;0.838,0.79,0.59
"What is the interaction mechanism between FGFR2, SHP2 and PLC_1? Summarize it in a bulleted list.",0.502;0.654;0.677,0.61,0.74
"Provide me all the affinity binding data for FGFR2 ï¿½ SHP2, FGFR2 - PLC_1, FGFR8 ï¿½ SHP2 and SHP2 - PLC_1.",0.81;0.81;0.815;0.849,0.82,0.57
"What things can affect the interaction between FGFR2 and SHP2?",0.564;0.64;0.721,0.64,0.72
"How can be the FGFR2-SHP2 interaction affected?",0.531;0.639;0.658;0.718,0.64,0.72
"What is the difference between a canonical and non-canonical SH2 domain interaction?",1.118;1.122;1.134,1.12,0.31
"Provide a bulleted list of the main findings from the paper ï¿½Group I and II mammalian PAKs have different modes of activation by Cdc42ï¿½. ",0.322;0.45;0.627,0.47,0.86
"Does regulatory domain inhibit PAK4?",0.672;0.69;0.719,0.69,0.67
"What are the Kd values for peptide binding of PAK4? ",0.731;0.755;0.764,0.75,0.62
"List me the construct boundaries of PAK4 in the experiments.",0.895;0.898;0.92,0.90,0.50
"List me the PAK4 construct boundaries in the experiments.",0.925;0.975;0.989,0.96,0.45
"What is known about the inhibition and activation of PAK4?",0.599;0.605;0.614;0.64,0.61,0.74
"What is known about PAK4 structure?",0.691;0.798;0.843,0.78,0.60
"Is there any interaction between PAKs and FGFRs?",0.883;0.898;0.928,0.90,0.50
"What is the main substrate of MNK1 kinase?",0.719;0.752;0.754;0.761;0.768,0.75,0.62
"How many variants of PAK, FGFR and MASP exist in the human body? List me the names too.",1.062;1.131;1.132;1.157,1.12,0.32
"Does the study suggest that  the regions with low modeled confidence, as predicted by AF2, undergo significant atomic displacement?",1.15;1.158;1.165;1.18;1.251,1.18,0.27
"Were any notable differences observed in the conformational landscape of AlphaFold2 predicted protein kinase structures as compared to the experimentally determined structures?                         OR                                                                                                                         Did the study identify significant disparities in the conformational landscape between AlphaFold2-predicted protein kinase structures and experimentally determined ones?",0.471;0.61;0.707,0.60,0.75
"Does combining a shallow MSA with state annotated templates achieve accuracy in predicting the active state of kinase?",0.777;0.852;0.953,0.86,0.53
"How does the proposed pipeline address neural network biases and biases towards specific structural conformations within the AlphaFold2 training set?",0.814;0.849;0.888,0.85,0.54
"Tabulate the different ligand types in kinase  and their associated details.",0.612;0.688;0.721;0.783,0.70,0.67
"Provide the number of unique ligands in each combination of conformation and ligand type.",0.799;0.849;0.977,0.88,0.52
"What does MMS stand for?",0.857;0.923;0.936;0.993;1.076,0.96,0.45
"How does the benzylamine group impact target selectivity?",0.886;0.963;0.996,0.95,0.46
"What did the high-resolution structures of CAK-bound pyrazolopyrimidine inhibitor complexes unravel?",0.64;0.728;0.748,0.71,0.66
"What new perspective about the signalling events of the CDK1, CDK2, CDK4 and CDK6 kinase subfamilies did the work decipher?",0.766;0.772;0.783;0.84,0.79,0.59
"How many sites of the  human Ser/Thr phosphoproteome were annotated?",0.654;0.913;0.971,0.85,0.54
"Is chemical proteomics an infalliable approach? Give pointwise justification.                                                                                           OR                                                                                                                                                                                                            Should chemical proteomics be used? Give point wise justification.",1.096;1.26;1.266,1.21,0.24
"How was machine learning used in the current study?",1.04;1.114;1.124,1.09,0.34
"Define the different kinase conformations?",0.446;0.498;0.507;0.545,0.50,0.83
"What are the steps in the Foldseek method?",0.755;0.864;0.978,0.87,0.53
"Provide rationale for determining which of the two methods, AlphaFold2 or Foldseek, exhibits superior performance.",0.935;0.848;0.849;0.859;0.892,0.88,0.52
"What is the novelty of this paper - "NMR 2020 Science Babis- Conformational states dynamically populated by a kinase determine its function"?",0.653;0.663;0.734,0.68,0.68
"Describe the NMR method used to identify the p38 kinase conformation.",0.789;0.793;0.805;0.83,0.80,0.58
"What algorithmic bottleneck do GAT networks address? ",0.963;1.001;1.007;1.022,1.00,0.42
"Explain the difference between transductive and inductive tasks in the context of graph neural networks.",0.75;0.934;1.021,0.90,0.50
"How does the GAT mechanism work in graph-neural networks? Summarize the individual steps of the algorithm.",0.766;0.795;0.795;0.86,0.80,0.58
"What is the EFFECT benchmark suite?",0.774;0.943;1.09,0.94,0.47
"How does the EFFECT benchmark suite control for dataset biases when evaluating cancer dependency predictors?",0.675;0.558;0.691;0.747,0.67,0.69
"What practical guideline do the authors from the EFFECT benchmark suite suggest to critically evaluate ML models?",0.765;0.854;0.908;0.963,0.87,0.52
"Why is a systematic evaluation and comparison of performance of methods for cancer survival and gene essentiality needed?",0.833;0.838;0.908,0.86,0.53
"What confounding biases are present in cancer depedency datasets and how do they influecne objective comparison of prediction methods?",0.726;0.81;0.87,0.80,0.58
"Summarize the state of the art of machine-learning methods currently in use to predict cancer dependencies from DepMap data.",0.786;0.793;0.806,0.80,0.59
"What are the main advantages of SSS compared to transformer based architectures?",1.075;1.083;1.126,1.09,0.34
"What sources contribute to RNA-seq profiles being very different between patient derived cancer samples and CCLE samples?",0.729;0.814;0.818;0.828;0.855,0.81,0.58
"Explain how celligner results allow to analyze cancer sub-type organisation. ",0.591;0.668;0.751,0.67,0.69
"Does Celligner perform equally well on all cancer types?",0.573;0.595;0.635,0.60,0.75
"What do you think are the weaknesses and limitations of Masif? Can you suggest ideas to address them?",0.752;0.975;0.991;1.007,0.93,0.47
"How does Masif compare to other state of the art methods for large scale docking? What are these methods and which metrics were used for the comparison?",0.711;0.796;0.802;0.873,0.80,0.59
"Summarize the workflow of MASIF, a deep-learning framework method to analyze protein surfaces and interactions.",0.491;0.568;0.593,0.55,0.79
"What challenges are faced when trying to deploy a prediction model trained on CCLE data to cancer derived patient samples?",0.911;0.917;0.949,0.93,0.48
"How many cars were approved by FDA thus far to treat cancer? And which companies sell them? What cancers does  these FDA approved cars treat? Are these fda approved cars mono-/bi-/tri-/tetra-specific? What antigens do these fda approved cars target?",0.674;0.71;0.748,0.71,0.66
"How much does it cost to treat cancer with CARs? Are there any cars designed in india?",0.562;0.666;0.828,0.69,0.68
"How does linkers impact protein folding? Are there any evidence to demonstrate that linkers enhanced protein/CAR stability, folding, aggregation and expression?",0.662;0.808;0.815;0.85,0.78,0.60
"What are the limitations of CAR therapy? What strategies researchers adopt to researchers adopt to develop CARs to overcome these limitations?",0.701;0.729;0.769,0.73,0.64
"Are there any CAR therapies approved for treating solid tumors? If yes, who designed it? If no, why is it hard to design a CAR for solid tumors?",0.758;0.791;0.791;0.804,0.79,0.59
"Are there any machine learning/deep learning/artificial intelligence methodologies carried on CAR proteins?",0.906;0.936;0.936;0.942;0.972,0.94,0.47
"Define a Chimeric antigen receptor (CAR)",0.422;0.422;0.47,0.44,0.89
"List all viral transduction methods that have been used to introduce genetic material into T-cells to generate CAR-T cells",0.63;0.662;0.696,0.66,0.70
"What are the most promising CAR-T designs that go beyond monospecific constructs?",0.82;0.847;0.861;0.861,0.85,0.54
"What are the biggest issues facing the development of better CAR-T therapies? Rank them in order of difficulty and provide examples with citations on all potential strategies to overcome these limitations. ",0.82;0.846;0.846;0.867,0.84,0.55
"What is known about the mechanism of mechanotransduction in transmitting a receptor binding event into a cellular signal? ",0.884;0.997;0.998;1.001;1.078,0.99,0.42
"How does the composition of the hinge region affect the efficiency of signal transduction in CARs.",0.991;0.727;0.727;0.795,0.81,0.57
"How does the composition of the hinge region affect the efficiency target cell killing in CARs.",0.748;0.748;0.865,0.79,0.59
"List all cancer types that have been targeted by CARs, and list which antigens are targeted in each case. ",0.55;0.705;0.726,0.66,0.70
"List all CARs that are approved by the FDA, and for which cancer their use is approved for.",0.873;0.82;0.851;0.855;0.86;0.873,0.86,0.54
"Which promoters have been used to drive CAR expression? Create an exhaustive list. ",1.072;1.095;1.104,1.09,0.34
"List the normal cell types that cause off-target effects with CARs and explain why off-target effects occur. ",0.794;0.794;0.828,0.81,0.58
"Why are loop-CARs a superior design over tandem CARs?",0.882;0.882;0.899,0.89,0.51
"How do you match CAR expression level to antigen density?",0.755;0.761;0.777;0.794,0.77,0.61
"List all costimulatory domains that have been used in CAR constructs and list the Pros and Cons of each.",0.893;0.974;0.988,0.95,0.46
"How will single-cell RNA sequencing and related technologies affect the design of new CARs?",0.78;0.828;0.832;0.832,0.82,0.57
"What are the differences between B-cells and T-cells in terms of cell surface receptors?",0.961;0.977;1.012;1.012,0.99,0.42
"What cancer type is the CAR-T targeting? ",0.499;0.571;0.575,0.55,0.79
"What is the size of the library used in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",0.55;0.41;0.648,0.54,0.80
"What assays have been discussed in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",0.295;0.404;0.487,0.40,0.92
"How many transgenes could be incorporated in T-cells?",0.847;0.866;0.884;0.903,0.88,0.52
"What signal peptide did they use for membrane targeting in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",0.526;0.641;0.645;0.685,0.62,0.73
"Which ScFvs have been used in this study - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",0.529;0.586;0.589;0.596;0.656;0.656,0.60,0.75
"What small molecule have been used to control the switch in the article - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",0.422;0.556;0.559,0.51,0.82
"What was the optimal concentration of the small molecule in the article - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",0.579;0.624;0.656;0.716,0.64,0.71
"What potential advantages does the small-molecule cleaving system offer in comparison to traditional antibody adaptors for controlling mSA2 CAR T cell activity?",0.454;0.714;0.756,0.64,0.72
"What are the proposed methods for administering adaptors and controlling OFF-switch activity in vivo, particularly in mouse models, and how might these methods differ depending on whether it's antibody adaptor pretreatment or simultaneous T cell and adaptor administration?",0.823;0.89;0.929,0.88,0.52
"In what ways could the cleavable OFF-switch adaptor technology be further applied or generalized beyond controlling mSA2 CAR T cell activity?",0.518;0.535;0.59,0.55,0.79
"What are some of the challenges in developing CAR T cells for treating solid tumors?",0.478;0.49;0.49;0.492;0.498,0.49,0.84
"How does the concept of Boolean-logic AND-gate CAR T cells aim to address these challenges? ",0.614;0.658;0.67,0.65,0.71
"How does the LINK CAR system differ from other engineered CAR systems, such as SynNotch and SPLIT CAR, in terms of specificity, efficacy, and potential clinical applicability? ",0.64;0.664;0.745,0.68,0.68
"What advantages do proximal signaling CARs, such as ZAP-70 CARs, demonstrate over traditional CD3_ CARs in terms of reduced tonic signaling, T cell exhaustion, expansion, and persistence? ",0.537;0.584;0.591;0.644,0.59,0.76
"What are the implications of the antigen-density thresholds for the functionality of the LINK CAR system?",0.696;0.701;0.701;0.709,0.70,0.67
"How does the ProCAR platform utilize tumor-colonizing probiotics to guide the cytotoxicity of engineered T cells?",0.459;0.499;0.53,0.50,0.84
"what are the key findings regarding its efficacy in mouse models of cancer? ",0.911;0.848;0.849;0.854,0.87,0.53
"What challenges do current CAR T cell therapies face regarding antigen dependence? ",0.346;0.416;0.463,0.41,0.91
"What advantages does the ProCAR system offer over other strategies for targeting solid tumors?",0.625;0.676;0.715;0.777,0.70,0.67
" how does ProCAR utilize bacteria to enhance tumor-specific target delivery?",0.503;0.639;0.659,0.60,0.75
"What is a KID domain?",1.177;1.363;1.366;1.415,1.33,0.14
"Provide a list of disordered proteins that do not fit the classic structure-function paradigm, and briefly list their relevant propeties.",0.662;0.689;0.739,0.70,0.67
"Does the DNA-related function of LEF-1 involve the structural transition of the protein and the DNA?",0.715;0.851;0.888,0.82,0.57
"How long is the peptide required to bind to eIF4E?",0.874;0.967;0.979,0.94,0.47
"What does the structure-function paradigm state and why does it need to be re-assessed?",0.898;0.942;0.946;1.05,0.96,0.45
"What is the function of the disordered regions of myoglobin?",0.869;0.91;0.913;0.957,0.91,0.49
"Why are highly flexible proteins incompatible with our previous view of how structure and function are related? ",0.685;0.701;0.759,0.71,0.65
"What is a molten globue?",1.07;1.009;1.036,1.04,0.38
"List the main features of a protein sequence that will determine whether the sequence will or will not fold into a stable structure.",0.775;0.816;0.825;0.861,0.82,0.57
"Is the NCBD domain of CBP folded or disordered?",0.618;0.876;0.911,0.80,0.58
"Where are the leukaemia-related breakpoints located in CBP/p300?",1.2;1.219;1.234,1.22,0.24
"What are the functions that are enabled by the fact that disordered proteins do not have a stable structure?",0.618;0.714;0.717;0.721;0.74,0.70,0.67
"What is the role of the disordered protein HMGA1?",0.82;0.835;0.875,0.84,0.55
"What biological roles can disordered proteins fulfill thanks to their structural properties?",0.529;0.599;0.653,0.59,0.76
"What is a nanny protein?",1.019;1.108;1.134;1.168;1.207,1.13,0.31
"Provide a list of ways IDPs are regulated, together with the implications of these reulatory mechanisms.",0.617;0.641;0.645;0.683,0.65,0.71
"Is the tight regulation of dosage-sensitive genes linked to avoiding detrimental abundance of proteins?",0.476;0.508;0.639;0.785,0.60,0.75
"Which IDP-phosphorylating kinase is regulated in a cell cycle dependent manner?",0.53;0.672;0.679;0.723,0.65,0.71
"Why do IDPs have unique regulatory mechanisms compared to folded proteins?",0.54;0.678;0.684,0.63,0.72
"What is the effect of targeting the DEP domain of Dishevelled with peptides?",0.992;1.011;1.114,1.04,0.38
"The regulation of disordered proteins is characteristically different from that of ordered ones; explain the reasons for this!",0.683;0.752;0.76;0.785,0.75,0.63
"What is ELM?",0.795;0.835;0.919,0.85,0.54
"What are the main attributes of short linear motifs?",0.845;0.848;0.946,0.88,0.52
"Is the motif LIG_PCNA present in archaea?",1.056;1.125;1.155,1.11,0.32
"What is the difference in charge and hydrophobicity between disordered proteins in general and Ligand motif instances?",0.626;0.741;0.82,0.73,0.64
"Why do short linear motifs typically reside in disordered protein regions, and what are the biological consequences of this?",0.496;0.742;0.748,0.66,0.70
"What are degradation motifs (degrons)?",1.116;1.069;1.002;1.043,1.06,0.37
"Why is it biologically important that motifs are commonly found in unstructred parts of proteins?",0.651;0.681;0.758,0.70,0.67
"What are PTMs?",1.13;1.137;1.144;1.163;1.194,1.15,0.29
"List the main factors that can initiate the transition of a protein between a folded and an unfolded state?",0.636;0.766;0.8,0.73,0.64
"Can interactions with a small molecule unfold a protein?",0.946;0.85;0.822;0.831,0.86,0.53
"How much surface area is buried during the dimerization of HdeA?",1.003;1.165;1.262,1.14,0.30
"What are the main differences between passive and active factors that can induce the unfolding of proteins?",0.632;0.723;0.732;0.802;0.914,0.76,0.62
"What induces the unfolding of the cytoplasmic tails of integrins?",1.066;1.09;1.097;1.14,1.10,0.33
"What is the basis of differentiating two kinds of factors that can change the structural states of conditionally unfolded proteins?",0.689;0.836;0.836;0.847;0.858,0.81,0.57
"What is an NLS?",1.388;1.249;1.513,1.38,0.10
"Give a summary of the main functions of short liear motifs in the human proteome!",1.11;1.129;1.134;1.177,1.14,0.30
"Do human phosphorylation sites predominantly reside in ordered regions of proteins?",0.639;0.675;0.745;0.835,0.72,0.65
"How many motifs are estimated to exist in the human proteome?",0.707;0.784;0.835,0.78,0.60
"How do different motifs play a role in the general function of various proteins?",0.568;0.595;0.645,0.60,0.75
"What are the motifs present in human CBP?",0.893;0.923;0.95;1.001,0.94,0.47
"What is the effect that the presence of a motif exerts on the fate of the full protein?",0.675;0.693;0.743;0.809,0.73,0.64
"What are RHIM sequences?",1.203;1.221;1.326,1.25,0.21
"What are the key ways in which post-translational modifications regulate disordered proteins?",0.547;0.649;0.758,0.65,0.71
"Does p120 catenin regulate cell adhesion?",0.958;1.091;1.091;1.095;1.101,1.07,0.36
"What signaling is affected by MSI-1436?",0.956;1.134;1.142;1.166;1.193,1.12,0.32
"What are the special biophysical and cellular features of how disordered proteins interact with their partners?",0.606;0.637;0.646;0.669;0.694,0.65,0.71
"How is the binding of the LAT protein regulated?",0.835;0.846;0.862;0.884,0.86,0.54
"In a physical and biological sense, what makes the protein-protein interaction modes of disordered proteins special?",0.564;0.63;0.668,0.62,0.73
"What is CALVADOS?",1.639;1.652;1.666,1.65,-0.13
"What are the main steps to computationally generating conformational ensembles of disordered proteins?",0.657;0.711;0.745,0.70,0.66
"Are compact IDRs generally longer than extended IDRs?",0.741;0.885;0.898;0.925;0.99,0.89,0.51
"How many disordered regions were identified in the human proteome?",0.722;0.903;0.951,0.86,0.53
"What are the effects of the compaction of disordered proteins on their biological functions?",0.675;0.729;0.731;0.735,0.72,0.65
"What is the compaction of human p53?",1.052;1.118;1.129;1.188,1.12,0.32
"How is the biological role of a disordered protein dependent on the degree to which it has a compact overall structure?",0.573;0.617;0.658,0.62,0.74
"What is CoA?",0.899;0.971;0.993,0.95,0.45
"What is acetyl-CoA?",0.653;0.693;0.71;0.73,0.70,0.67
"What is succinyl-CoA?",0.607;0.656;0.711,0.66,0.70
"What reactions does SIRT5 catalyze?",0.565;0.634;0.646;0.677,0.63,0.72
"What is lysine acylation?",0.613;0.497;0.562,0.56,0.79
"What is lysine acetylation?",0.472;0.546;0.579,0.53,0.81
"Where, within cells, is succinyl-CoA found?",0.583;0.639;0.705,0.64,0.71
"What species is succinyl-CoA found in?",0.799;0.815;0.824;0.897,0.83,0.56
"What processes do lysine acylations regulate?",0.534;0.571;0.571;0.639,0.58,0.77
"Where, within proteins, does lysine acetylation happen?",0.499;0.513;0.518,0.51,0.82
"Are there lysine acylation reader domains in bacteria?",0.416;0.724;0.752,0.63,0.72
"What lysine acylation reader domains are known in mammals?",0.523;0.721;0.809,0.68,0.68
"What enzymes succinylate lysines outside of mitochondria, and where does their succinyl-CoA come from?",0.388;0.453;0.541,0.46,0.87
"What PTM does succinylation overlap with, and to what percentage?",0.913;0.963;1.015,0.96,0.45
"What evidence is there for demalonylation by SIRT5?",0.678;0.696;0.706;0.726,0.70,0.67
"Is there a known "writer" enzyme for lysine malonylation?",0.543;0.571;0.586;0.646,0.59,0.76
"What's a possible source of non-enzymatic lysine acetylation?",0.453;0.505;0.524;0.563,0.51,0.82
"What species does acetylphosphate-dependent lysine acetylation occur in?",0.642;0.656;0.662;0.672,0.66,0.70
"What acylation-related enzymes are used by pathogenic bacteria to attack their hosts?",0.778;0.87;0.945,0.86,0.53
"What does alpha-ketoglutarate do in the context of lysine acylations?",0.755;0.758;0.781,0.76,0.61
