question_id,question_type,best_1,best_2,mygpt_beta
148,complex_question,yes,yes,yes
149,summarization,yes,yes,yes
150,summarization,yes,yes,yes
151,complex_question,yes,yes,yes
152,summarization,yes,yes,yes
153,summarization,yes,no,no
154,summarization,yes,yes,yes
155,summarization,yes,yes,no
156,summarization,yes,yes,yes
157,keyword,yes,yes,no
158,summarization,no,no,yes
159,yes/no,yes,yes,yes
160,data_query,no,no,no
161,complex_question,yes,yes,no
162,irrelevant_question,yes,yes,no
163,complex_question,yes,yes,yes
164,keyword,yes,yes,yes
165,summarization,yes,no,yes
166,yes/no,yes,yes,no
167,data_query,no,no,no
168,complex_question,yes,yes,yes
169,irrelevant_question,yes,yes,no
170,complex_question,yes,yes,yes
171,keyword,no,no,yes
172,summarization,no,no,no
173,yes/no,yes,yes,yes
174,data_query,yes,yes,yes
175,complex_question,yes,yes,yes
176,irrelevant_question,no,yes,no
177,complex_question,yes,yes,yes
178,keyword,no,yes,no
179,summarization,yes,yes,no
180,yes/no,yes,yes,yes
181,data_query,no,no,no
182,complex_question,no,no,yes
183,irrelevant_question,yes,yes,no
184,complex_question,yes,yes,no
185,keyword,yes,yes,yes
186,summarization,yes,no,yes
187,yes/no,yes,yes,yes
188,data_query,yes,yes,no
189,complex_question,yes,yes,yes
190,irrelevant_question,yes,yes,no
191,complex_question,yes,no,no
192,keyword,no,yes,no
193,summarization,yes,yes,no
194,yes/no,yes,yes,no
195,data_query,yes,yes,no
196,complex_question,no,yes,no
197,irrelevant_question,no,yes,no
198,complex_question,yes,yes,yes
199,keyword,no,no,no
200,summarization,yes,yes,yes
201,yes/no,yes,yes,yes
202,data_query,no,yes,no
203,complex_question,yes,yes,yes
204,irrelevant_question,yes,yes,yes
205,complex_question,yes,yes,yes
208,yes/no,yes,yes,no
209,data_query,no,no,yes
210,complex_question,yes,no,yes
211,irrelevant_question,no,yes,no
212,complex_question,no,no,yes
213,keyword,yes,yes,no
214,keyword,yes,yes,no
215,keyword,yes,no,yes
216,data_query,yes,yes,no
217,keyword,no,yes,yes
218,keyword,no,no,yes
219,data_query,yes,yes,yes
220,data_query,no,no,yes
221,summarization,no,no,yes
222,data_query,yes,yes,yes
223,yes/no,yes,no,no
224,data_query,yes,yes,no
225,data_query,no,no,no
226,data_query,yes,yes,yes
227,complex_question,yes,yes,no
228,complex_question,no,no,no
229,summarization,no,yes,no
230,complex_question,yes,yes,no
231,complex_question,no,yes,no
232,complex_question,no,no,yes
