library,question,qa_cos,qa_dot,mini_l6,mini_l12,snowflake,nomic,pubmed_bert
IDR,Is the tight regulation of dosage-sensitive genes linked to avoiding detrimental abundance of proteins?,0.737488669,0.877537408,0.615207562,0.800825058,0.363443289,0.606031406,0.655904059
IDR,Which IDP-phosphorylating kinase is regulated in a cell cycle dependent manner?,0.386309986,0.446636725,0.367486904,0.446636725,0,0.975732863,0.760420394
IDR,Why do IDPs have unique regulatory mechanisms compared to folded proteins?,0.962955069,0.962955069,0.966753046,0.817050199,0.612103813,0.598631051,0.662965866
IDR,What is the effect of targeting the DEP domain of Dishevelled with peptides?,0,0,0,0,0,0.517295894,0
IDR,The regulation of disordered proteins is characteristically different from that of ordered ones; explain the reasons for this!,0.7271937,0.775808348,0.753374746,0.88034916,0.827262933,0.798840596,0.859583843
IDR,What is ELM?,0.938788913,0.839021083,0.822242338,0.312900207,0.352959901,0.938788913,0.828784033
IDR,What are the main attributes of short linear motifs?,1,1,1,0.966504392,0.899513175,1,0.899513175
IDR,Is the motif LIG_PCNA present in archaea?,0,0,0.534038891,0,0,0.335038423,0.378468773
IDR,What is the difference in charge and hydrophobicity between disordered proteins in general and Ligand motif instances?,0.555253165,0.621360536,0.754791501,0.634833783,0.59209654,0.745214343,0.294850311
IDR,"Why do short linear motifs typically reside in disordered protein regions, and what are the biological consequences of this?",0.444384197,0.975991831,0.79790617,0.975991831,0.975991831,0,0.975991831
IDR,What are degradation motifs (degrons)?,0.798756977,0.675746447,0.715691992,0.294419438,0,0.716647914,0.70897458
IDR,Why is it biologically important that motifs are commonly found in unstructred parts of proteins?,0.762980815,0.762182896,0.892695562,0.770188422,0.87771838,0,0.538875895
IDR,What are PTMs?,0.943675967,0.943860087,0.888652618,0.816781055,0,0.564267462,0.971187642
IDR,List the main factors that can initiate the transition of a protein between a folded and an unfolded state?,0.95825336,0.95825336,0.95825336,0.95825336,0,0.95825336,0.95825336
IDR,Can interactions with a small molecule unfold a protein?,0.613874161,0.892212129,0.555012642,0.555121386,0,0.637706042,0.65065319
IDR,How much surface area is buried during the dimerization of HdeA?,0.759354947,0.675898863,0.753959522,0.753959522,0,0.582503219,0.63996211
IDR,What are the main differences between passive and active factors that can induce the unfolding of proteins?,1,1,0.751346972,1,0,0.998575821,0.995727462
IDR,What induces the unfolding of the cytoplasmic tails of integrins?,0,1,0,0,0,0,0
IDR,What is the basis of differentiating two kinds of factors that can change the structural states of conditionally unfolded proteins?,0.940291605,0.940291605,0.993202134,0.975089325,0,0.833458863,0.84932505
IDR,What is an NLS?,0.966450596,0.270353081,0.872674599,0.288244583,0.354902925,0.966450596,0
IDR,Give a summary of the main functions of short liear motifs in the human proteome!,0.496621669,0,0.609101358,0,0.759432194,0.768509808,0.73343329
IDR,Do human phosphorylation sites predominantly reside in ordered regions of proteins?,0.886301257,0.905282495,0.881353109,0.881353109,0.596818864,0.881353109,0.834390878
IDR,How many motifs are estimated to exist in the human proteome?,0.808124701,0.830648578,0.837904,0.823393157,0,0.823393157,0.804309946
IDR,How do different motifs play a role in the general function of various proteins?,0.682791827,0.774923858,0.873503443,0.695162637,0.971245064,0.68085416,0.966372246
IDR,What are the motifs present in human CBP?,0.375654955,0.601262027,0.702757213,0.648680552,0.968234066,0.524914643,0.671099573
IDR,What is the effect that the presence of a motif exerts on the fate of the full protein?,0.454884558,0.861466429,0.781268376,0.861466429,0.955936807,0.712443478,0.602333782
IDR,What are RHIM sequences?,0.344595819,0.144175311,0,0.316426585,0.005694152,0.411825543,0.049952452
IDR,What are the key ways in which post-translational modifications regulate disordered proteins?,0,0,0.922567037,0.898525252,0.971111016,0.969018336,0.969018336
IDR,Does p120 catenin regulate cell adhesion?,0.693093791,0.908063475,0.673231917,0.673231917,0,0.82978628,0.82978628
IDR,What signaling is affected by MSI-1436?,0.683913991,,0.893286435,,0,0.749113624,0.140139216
IDR,What are the special biophysical and cellular features of how disordered proteins interact with their partners?,,0.965534032,0.690986327,0.852379743,0.529583592,0.985918878,0.924727485
IDR,How is the binding of the LAT protein regulated?,0.400935858,0.50821629,0,0,0,0,0
IDR,"In a physical and biological sense, what makes the protein-protein interaction modes of disordered proteins special?",0.932824817,0.928390218,0.54057306,0.982164249,0,0.982164249,0.899415614
IDR,What is CALVADOS?,0.480101309,0.86278143,1,0.721962271,0,0,0.864550971
IDR,What are the main steps to computationally generating conformational ensembles of disordered proteins?,1,0.868441286,0.945870638,0.884371819,0,0.884331605,1
IDR,Are compact IDRs generally longer than extended IDRs?,0.943462203,0.243963282,0.818090812,0.243963282,0,0.849770251,0.36340478
IDR,How many disordered regions were identified in the human proteome?,0.667410586,0.630132183,0.603292504,0.654828943,0.708936097,0.636487824,0.632844375
IDR,What are the effects of the compaction of disordered proteins on their biological functions?,0.985135755,0.706728685,0.771498254,0.672157653,0,0.829626023,0.830064395
PTM,What is the compaction of human p53?,0.473967651,0.443916697,0.608731737,0.456155129,0,0.610985704,0.556323887
PTM,How is the biological role of a disordered protein dependent on the degree to which it has a compact overall structure?,0.87887997,0.86230733,0.386470785,0.867482364,0.674168053,0.7838858,0.917180017
PTM,What is CoA?,0.960287266,0.698516481,0.743308689,0.698516481,0.936586341,0.960287266,0.540071633
PTM,What is acetyl-CoA?,0.146007283,0.599882902,0.451358871,0.517000006,0.757217551,0.134513333,0.856553036
PTM,What is succinyl-CoA?,0.619231467,0.631750991,0.631750991,0.631750991,0.449970859,,0.619231467
PTM,What reactions does SIRT5 catalyze?,0.958289056,0.980689426,0.829822338,0.980689426,0,0.985748871,0
PTM,What is lysine acylation?,1,0.98278601,0.825994508,0.991393005,0.926755905,0.991393005,0.77801583
PTM,What is lysine acetylation?,0.780986254,0.735111386,1,0.837007457,1,0.714460158,0.575785334
PTM,"Where, within cells, is succinyl-CoA found?",0.696756241,0.610046181,0.696756241,0.610046181,0.174402896,0.634491366,0.696756241
PTM,What species is succinyl-CoA found in?,0.685326573,0.493152348,0.465958421,0.493152348,0,0.582507859,0.575794725
PTM,What processes do lysine acylations regulate?,0.899925824,0.832966072,0.823971403,0.875109686,0.667436445,0.592364099,0.932580194
PTM,"Where, within proteins, does lysine acetylation happen?",0.756551386,0.833151273,0.824887203,0.701810283,0.808031306,0.762524151,0.85022803
PTM,Are there lysine acylation reader domains in bacteria?,0,0.864984899,0,0,0.641990939,0.914654241,0
PTM,What lysine acylation reader domains are known in mammals?,0.723281227,0.730817495,0.735383179,0.754586085,0,0.994223358,0.661730781
PTM,"What enzymes succinylate lysines outside of mitochondria, and where does their succinyl-CoA come from?",0.776376437,0.785617941,0.690609191,0.785617941,0,0.785617941,0.782537439
PTM,"What PTM does succinylation overlap with, and to what percentage?",0.374459953,0.48006823,0.524591574,0.363189646,0.362952261,0.599237457,0.510050109
PTM,What evidence is there for demalonylation by SIRT5?,0.33489885,0.84680909,0.762183146,0.545344558,0.550261941,0.99120831,0.579229851
PTM,"Is there a known ""writer"" enzyme for lysine malonylation?",0.794355535,0.977908275,0.542150063,0.951006129,0,0.661304825,0.603512326
PTM,Whats a possible source of non-enzymatic lysine acetylation?,,0.991113982,0.996316621,0.998491779,0.812880314,0.996316621,0.99051079
PTM,What species does acetylphosphate-dependent lysine acetylation occur in?,0.706544943,0.339076872,0.586984846,0.766608983,0.620819487,0.66274532,0.700379008
PTM,What acylation-related enzymes are used by pathogenic bacteria to attack their hosts?,0.560633503,0.732239216,0.508583457,0.760263943,0,0.572703557,0.563141618
PTM,What does alpha-ketoglutarate do in the context of lysine acylations?,0,0.858044326,0.489188236,0.552993412,0.621332523,0.448421287,0.497715012
