library,question,qa_cos,qa_dot,mini_l6,mini_l12,snowflake,nomic
Kinases,What are the Kd values for peptide binding of PAK4? ,0,0,0,0,0,0
Kinases,List me the construct boundaries of PAK4 in the experiments.,0.873721603,0.516382317,0.700421014,0.603994619,0,0.873721603
Kinases,List me the PAK4 construct boundaries in the experiments.,0.769448301,0.696210885,0.579605079,0.447485778,0,0.848779377
Kinases,What is known about the inhibition and activation of PAK4?,0.721899423,0.90931143,0.630253345,0.696961085,0,1
Kinases,What is known about PAK4 structure?,0.551415138,0.463256188,0.385101663,0.42251238,0.350321585,0.98524301
Kinases,Is there any interaction between PAKs and FGFRs?,0,,0,,0,0
Kinases,What is the main substrate of MNK1 kinase?,,0.823750752,0,0,0,0
Kinases,"How many variants of PAK, FGFR and MASP exist in the human body? List me the names too.",0.635935217,0.607777524,0.733615577,0.793426883,0,0.327872118
Kinases,"Does the study suggest that  the regions with low modeled confidence, as predicted by AF2, undergo significant atomic displacement?",,0.381493542,0.361502186,0.384459888,0,0.701014677
Kinases,Were any notable differences observed in the conformational landscape of AlphaFold2 predicted protein kinase structures as compared to the experimentally determined structures?                         OR                                                                                                                         Did the study identify significant disparities in the conformational landscape between AlphaFold2-predicted protein kinase structures and experimentally determined ones?,0.785914572,0,0,0.703794031,0.78330438,0.732260104
Kinases,Does combining a shallow MSA with state annotated templates achieve accuracy in predicting the active state of kinase?,0.520297718,0.580579014,0,0.819823531,0,0
Kinases,How does the proposed pipeline address neural network biases and biases towards specific structural conformations within the AlphaFold2 training set?,0.768002631,0.993099541,0.873946149,0.918541519,0.656469339,0.768002631
Kinases,Tabulate the different ligand types in kinase  and their associated details.,0.841851326,0.848933731,0.389631669,0.861368569,0.856534893,0.809588678
Kinases,Provide the number of unique ligands in each combination of conformation and ligand type.,0.785528579,0,0.312901639,0,0,0
Kinases,What does MMS stand for?,1,0,0.440705709,0,0,1
Kinases,How does the benzylamine group impact target selectivity?,0,0,0,0,0,0.969045466
Kinases,What did the high-resolution structures of CAK-bound pyrazolopyrimidine inhibitor complexes unravel?,0.85702131,,0.57153803,0.88903719,0,0.937319947
Kinases,"What new perspective about the signalling events of the CDK1, CDK2, CDK4 and CDK6 kinase subfamilies did the work decipher?",0.508166564,,0.392330958,,0.712947177,0.475955594
Kinases,How many sites of the  human Ser/Thr phosphoproteome were annotated?,0.61809049,0.508761943,0.506683756,0.506683756,1,0.506683756
Kinases,Is chemical proteomics an infalliable approach? Give pointwise justification.                                                                                           OR                                                                                                                                                                                                            Should chemical proteomics be used? Give point wise justification.,0.67931314,0.63058625,0,0.667093191,0.638656139,0.812729781
Kinases,How was machine learning used in the current study?,0,0.363565097,0.395488692,0,0.398995125,0.596818184
Kinases,Define the different kinase conformations?,0.867125987,0.940445535,0.926365866,0.940445535,0.865343584,0.71446925
Kinases,What are the steps in the Foldseek method?,1,1,,1,0,0.936158428
Kinases,"Provide rationale for determining which of the two methods, AlphaFold2 or Foldseek, exhibits superior performance.",0.855942835,,0.801100015,0.839435187,0,0.871775671
Kinases,What is the novelty of this paper?,0.460803162,0.437553995,0.60260354,0.504809705,0.549424582,0.519507282
Kinases,Describe the NMR method used to identify the p38 kinase conformation.,0.924916093,0,0,0.200836049,0,0.769096842
Kinases,What algorithmic bottleneck do GAT networks address? ,0.588520492,0.590275135,0.502655728,0.586336948,1,0.637683879
Kinases,Explain the difference between transductive and inductive tasks in the context of graph neural networks.,0.948369984,0.878202559,0.926110546,0.979706523,0.614736867,0.868114241
Kinases,How does the GAT mechanism work in graph-neural networks? Summarize the individual steps of the algorithm.,0.773460078,0.79702573,0.656661306,0.811275613,0.88786461,0.790307902
Kinases,What is the EFFECT benchmark suite?,0.966468602,0.596998617,0.472254347,0.634125257,0.648859628,0.965724494
Kinases,How does the EFFECT benchmark suite control for dataset biases when evaluating cancer dependency predictors?,0.564546493,0.565342803,0.820498217,0.565271284,0.437662043,0.820498217
Kinases,What practical guideline do the authors from the EFFECT benchmark suite suggest to critically evaluate ML models?,0.856015134,0.955878318,0.890127627,0.706542338,0.539847982,0.777968471
Kinases,Why is a systematic evaluation and comparison of performance of methods for cancer survival and gene essentiality needed?,0.967830299,0.380639074,0.344003507,0.380639074,0.425069845,0.651338307
Kinases,What confounding biases are present in cancer depedency datasets and how do they influecne objective comparison of prediction methods?,0.542937635,0.706831828,0,0.706831828,0.737407231,0.772576921
Kinases,Summarize the state of the art of machine-learning methods currently in use to predict cancer dependencies from DepMap data.,0.936639784,0.937386175,0.936639784,0.935670405,0.936639784,0.916389354
Kinases,What are the main advantages of SSS compared to transformer based architectures?,0.912423683,0.811647771,0.840931722,0.733216883,0,0.739257634
Kinases,What sources contribute to RNA-seq profiles being very different between patient derived cancer samples and CCLE samples?,,0.998205177,0.994457438,0.951284317,0.993684114,0.980277455
Kinases,Explain how celligner results allow to analyze cancer sub-type organisation. ,0.890227776,0.734453207,0.466809889,0.675321859,0.828937399,0.462690803
Kinases,Does Celligner perform equally well on all cancer types?,0.502981993,0.748521726,0,0.489996642,0.805029804,0.765970002
Kinases,What do you think are the weaknesses and limitations of Masif? Can you suggest ideas to address them?,0.925746421,0.740775766,,0.753406353,0,0.934503275
Kinases,How does Masif compare to other state of the art methods for large scale docking? What are these methods and which metrics were used for the comparison?,0.542436443,0.823261112,0.717363817,0.82526975,0.436222342,0.827619025
Kinases,"Summarize the workflow of MASIF, a deep-learning framework method to analyze protein surfaces and interactions.",0.665672414,0.732808583,0.759346451,0.732808583,0.68140947,0.716221852
Kinases,What challenges are faced when trying to deploy a prediction model trained on CCLE data to cancer derived patient samples?,0.433916699,0.293448721,0.971345096,0.572978619,0.646423908,0.99529236
CAR-T,How many cars were approved by FDA thus far to treat cancer? And which companies sell them? What cancers does  these FDA approved cars treat? Are these fda approved cars mono-/bi-/tri-/tetra-specific? What antigens do these fda approved cars target?,0.617823225,0.656143872,0.589025641,0.633309016,0,0.699348215
CAR-T,How much does it cost to treat cancer with CARs? Are there any cars designed in india?,0.734588274,0.557890356,0.725495925,0.551085713,0,0.723558765
CAR-T,"How does linkers impact protein folding? Are there any evidence to demonstrate that linkers enhanced protein/CAR stability, folding, aggregation and expression?",0.883415842,0.486599035,0.889741176,0.804153359,0.891590826,0.890129441
CAR-T,What are the limitations of CAR therapy? What strategies researchers adopt to researchers adopt to develop CARs to overcome these limitations?,0.707978811,0.660726128,0.796387773,0.712163506,0.859242123,0.707978811
CAR-T,"Are there any CAR therapies approved for treating solid tumors? If yes, who designed it? If no, why is it hard to design a CAR for solid tumors?",0.854588251,0.792360118,0.795900418,0.815556145,0.835352807,0.797038513
CAR-T,Are there any machine learning/deep learning/artificial intelligence methodologies carried on CAR proteins?,0.39033187,0,0.699734237,0,0,0.676539444
CAR-T,Define a Chimeric antigen receptor (CAR),0.876345413,0.820260183,0.523495619,0.872358366,0.976554731,0.868888765
CAR-T,List all viral transduction methods that have been used to introduce genetic material into T-cells to generate CAR-T cells,0.96114058,0.944092544,0.96114058,0.950875719,0.698261229,0.916801218
CAR-T,What are the most promising CAR-T designs that go beyond monospecific constructs?,0.600308063,0.991860694,0.640774966,0.991860694,0.996098877,0.826856392
CAR-T,What are the biggest issues facing the development of better CAR-T therapies? Rank them in order of difficulty and provide examples with citations on all potential strategies to overcome these limitations. ,0.922509177,,0.922509177,,0.922509177,0.922509177
CAR-T,What is known about the mechanism of mechanotransduction in transmitting a receptor binding event into a cellular signal? ,,0,0.850967051,0,0,0
CAR-T,How does the composition of the hinge region affect the efficiency of signal transduction in CARs.,0.948080888,0.676757506,0.981899704,0.804954077,0.997446268,0.764772425
CAR-T,How does the composition of the hinge region affect the efficiency target cell killing in CARs.,0.720144374,0.622675021,0.686557366,0.679207429,0,0.852228006
CAR-T,"List all cancer types that have been targeted by CARs, and list which antigens are targeted in each case. ",0.867524251,,,,0,0.750138043
CAR-T,"List all CARs that are approved by the FDA, and for which cancer their use is approved for.",0.4758928,0.604698773,0.643049454,0.500280559,0,0.62207375
CAR-T,Which promoters have been used to drive CAR expression? Create an exhaustive list. ,0,0,0.881787595,0,0,0
CAR-T,List the normal cell types that cause off-target effects with CARs and explain why off-target effects occur. ,0.855158661,0.903803614,0.559294712,0.895608255,0.578090151,0.891197458
CAR-T,Why are loop-CARs a superior design over tandem CARs?,0.545115985,0,0,0,0,0.508496137
CAR-T,How do you match CAR expression level to antigen density?,0.226908622,0,0.948272275,0,0,0.943608482
CAR-T,List all costimulatory domains that have been used in CAR constructs and list the Pros and Cons of each.,0.85892778,,0.859779265,,0,0.744059331
CAR-T,How will single-cell RNA sequencing and related technologies affect the design of new CARs?,1,1,0.593710312,0.977794407,0,0
CAR-T,What are the differences between B-cells and T-cells in terms of cell surface receptors?,0.994463655,0.980886979,0.99135193,0.503677747,0.99135193,0.684215654
CAR-T,What cancer type is the CAR-T targeting? ,0.668673572,0.664243574,0.481811979,0.64379998,0.856818572,0.741336522
CAR-T,What is the size of the library used in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?,0,0,0,0,0,0
CAR-T,What assays have been discussed in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?,0,0.255337524,0,0.220021838,0,0.255337524
CAR-T,How many transgenes could be incorporated in T-cells?,0.983939262,0.482416369,0,0.48113579,0,0.346949726
CAR-T,What signal peptide did they use for membrane targeting in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?,0.499176561,0.502779654,0,0.631954627,0,0.562618661
CAR-T,Which ScFvs have been used in this study - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?,0,0,0.621946301,0,0,0.331534056
CAR-T,What small molecule have been used to control the switch in the article - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?,0.779850056,,0.705380929,,0.684222024,0.698672246
CAR-T,What was the optimal concentration of the small molecule?,0,0,0,0,0.511351827,0.357409933
CAR-T,What potential advantages does the small-molecule cleaving system offer in comparison to traditional antibody adaptors for controlling mSA2 CAR T cell activity?,0.927865665,0,0.326312456,0,0.48574687,0.855724775
CAR-T,"What are the proposed methods for administering adaptors and controlling OFF-switch activity in vivo, particularly in mouse models, and how might these methods differ depending on whether its antibody adaptor pretreatment or simultaneous T cell and adaptor administration?",0.867258196,,0.867258196,,0,0.855072491
CAR-T,In what ways could the cleavable OFF-switch adaptor technology be further applied or generalized beyond controlling mSA2 CAR T cell activity?,0.733732347,0.755131076,0.811679591,0.812842668,0.739211475,0.755486527
CAR-T,What are some of the challenges in developing CAR T cells for treating solid tumors?,0.997678069,0.967027355,0.967027355,0.967027355,0.619912325,1
CAR-T,How does the concept of Boolean-logic AND-gate CAR T cells aim to address these challenges? ,0.753897812,0.812417491,0.930851133,0.817530035,0,0.926040362
CAR-T,"How does the LINK CAR system differ from other engineered CAR systems, such as SynNotch and SPLIT CAR, in terms of specificity, efficacy, and potential clinical applicability? ",0.863862777,0.828972358,0.745826815,0.862759532,0,0.871142347
CAR-T,"What advantages do proximal signaling CARs, such as ZAP-70 CARs, demonstrate over traditional CD3_ CARs in terms of reduced tonic signaling, T cell exhaustion, expansion, and persistence? ",0.898196971,0.90716633,0.898196971,0.894126958,0.911369297,0.914554449
CAR-T,What are the implications of the antigen-density thresholds for the functionality of the LINK CAR system?,0.674869703,0,0.729258573,0,0,0.494854349
CAR-T,How does the ProCAR platform utilize tumor-colonizing probiotics to guide the cytotoxicity of engineered T cells?,0.471045512,0.700319717,0.906226565,0.5713082,0.769969759,0.641045274
CAR-T,what are the key findings regarding its efficacy in mouse models of cancer? ,0.84911305,,0.833518363,,0.439342847,0.85373082
CAR-T,What challenges do current CAR T cell therapies face regarding antigen dependence? ,0.989822645,0.791828664,1,0.670684369,0.790981783,0.990048651
CAR-T,What advantages does the ProCAR system offer over other strategies for targeting solid tumors?,0.99033111,,0,,0.689507942,0.99033111
IDR, how does ProCAR utilize bacteria to enhance tumor-specific target delivery?,0.917267939,0.567317332,0.693943582,0.602090635,0.822184179,0.484939774
IDR,What is a KID domain?,0.689307851,0.605704813,0.460159834,0.516954118,0.902809059,0.630940978
IDR,"Provide a list of disordered proteins that do not fit the classic structure-function paradigm, and briefly list their relevant propeties.",0.935916991,0.724824894,0.935916991,0.935916991,0.752259152,0.587085039
IDR,Does the DNA-related function of LEF-1 involve the structural transition of the protein and the DNA?,0.791989853,0.804953686,0.804953686,0.804953686,0.649238561,0.804953686
IDR,How long is the peptide required to bind to eIF4E?,0.959065012,0.504059032,0.543853732,0.904717612,0,0.480911258
IDR,What does the structure-function paradigm state and why does it need to be re-assessed?,0.594288674,0.724214185,0.418759938,0.689052642,0.241428622,0
IDR,What is the function of the disordered regions of myoglobin?,0.50248783,0,0,0,0,0
IDR,Why are highly flexible proteins incompatible with our previous view of how structure and function are related? ,0.539152235,0.497962105,0.730094248,0.584918436,0.824110403,0.659969432
IDR,What is a molten globue?,0.830241132,0.902523971,0.775813948,0.965878965,0,0.920690803
IDR,List the main features of a protein sequence that will determine whether the sequence will or will not fold into a stable structure.,0.944076881,0.949934984,0.903107917,0.944076881,0,0.951085896
IDR,Is the NCBD domain of CBP folded or disordered?,0,0.879160918,0.849885281,0.814390214,0.801238667,0.84384072
IDR,Where are the leukaemia-related breakpoints located in CBP/p300?,0,0,0,0.327693304,0,0.72076224
IDR,What are the functions that are enabled by the fact that disordered proteins do not have a stable structure?,0.943145836,0.981708508,0.805182471,0.998519105,0,0.766852557
IDR,What is the role of the disordered protein HMGA1?,0.973693371,0.582641992,0,0.600725108,0,0.670091147
IDR,What biological roles can disordered proteins fulfill thanks to their structural properties?,0.936928044,0.859767376,0.898027339,0.786485724,0,0.772983086
IDR,What is a nanny protein?,0.941283561,0.644709887,0,0.877268371,0.422424022,0
IDR,"Provide a list of ways IDPs are regulated, together with the implications of these reulatory mechanisms.",0.675994631,0.691249384,0.747429563,0.665575369,0.66898182,0.658605499
IDR,Is the tight regulation of dosage-sensitive genes linked to avoiding detrimental abundance of proteins?,0.737488669,0.877537408,0.615207562,0.800825058,0.363443289,0.606031406
IDR,Which IDP-phosphorylating kinase is regulated in a cell cycle dependent manner?,0.386309986,0.446636725,0.367486904,0.446636725,0,0.975732863
IDR,Why do IDPs have unique regulatory mechanisms compared to folded proteins?,0.962955069,0.962955069,0.966753046,0.817050199,0.612103813,0.598631051
IDR,What is the effect of targeting the DEP domain of Dishevelled with peptides?,0,0,0,0,0,0.517295894
IDR,The regulation of disordered proteins is characteristically different from that of ordered ones; explain the reasons for this!,0.7271937,0.775808348,0.753374746,0.88034916,0.827262933,0.798840596
IDR,What is ELM?,0.938788913,0.839021083,0.822242338,0.312900207,0.352959901,0.938788913
IDR,What are the main attributes of short linear motifs?,1,1,1,0.966504392,0.899513175,1
IDR,Is the motif LIG_PCNA present in archaea?,0,0,0.534038891,0,0,0.335038423
IDR,What is the difference in charge and hydrophobicity between disordered proteins in general and Ligand motif instances?,0.555253165,0.621360536,0.754791501,0.634833783,0.59209654,0.745214343
IDR,"Why do short linear motifs typically reside in disordered protein regions, and what are the biological consequences of this?",0.444384197,0.975991831,0.79790617,0.975991831,0.975991831,0
IDR,What are degradation motifs (degrons)?,0.798756977,0.675746447,0.715691992,0.294419438,0,0.716647914
IDR,Why is it biologically important that motifs are commonly found in unstructred parts of proteins?,0.762980815,0.762182896,0.892695562,0.770188422,0.87771838,0
IDR,What are PTMs?,0.943675967,0.943860087,0.888652618,0.816781055,0,0.564267462
IDR,List the main factors that can initiate the transition of a protein between a folded and an unfolded state?,0.95825336,0.95825336,0.95825336,0.95825336,0,0.95825336
IDR,Can interactions with a small molecule unfold a protein?,0.613874161,0.892212129,0.555012642,0.555121386,0,0.637706042
IDR,How much surface area is buried during the dimerization of HdeA?,0.759354947,0.675898863,0.753959522,0.753959522,0,0.582503219
IDR,What are the main differences between passive and active factors that can induce the unfolding of proteins?,1,1,0.751346972,1,0,0.998575821
IDR,What induces the unfolding of the cytoplasmic tails of integrins?,0,1,0,0,0,0
IDR,What is the basis of differentiating two kinds of factors that can change the structural states of conditionally unfolded proteins?,0.940291605,0.940291605,0.993202134,0.975089325,0,0.833458863
IDR,What is an NLS?,0.966450596,0.270353081,0.872674599,0.288244583,0.354902925,0.966450596
IDR,Give a summary of the main functions of short liear motifs in the human proteome!,0.496621669,0,0.609101358,0,0.759432194,0.768509808
IDR,Do human phosphorylation sites predominantly reside in ordered regions of proteins?,0.886301257,0.905282495,0.881353109,0.881353109,0.596818864,0.881353109
IDR,How many motifs are estimated to exist in the human proteome?,0.808124701,0.830648578,0.837904,0.823393157,0,0.823393157
IDR,How do different motifs play a role in the general function of various proteins?,0.682791827,0.774923858,0.873503443,0.695162637,0.971245064,0.68085416
IDR,What are the motifs present in human CBP?,0.375654955,0.601262027,0.702757213,0.648680552,0.968234066,0.524914643
IDR,What is the effect that the presence of a motif exerts on the fate of the full protein?,0.454884558,0.861466429,0.781268376,0.861466429,0.955936807,0.712443478
IDR,What are RHIM sequences?,0.344595819,0.144175311,0,0.316426585,0.005694152,0.411825543
IDR,What are the key ways in which post-translational modifications regulate disordered proteins?,0,0,0.922567037,0.898525252,0.971111016,0.969018336
IDR,Does p120 catenin regulate cell adhesion?,0.693093791,0.908063475,0.673231917,0.673231917,0,0.82978628
IDR,What signaling is affected by MSI-1436?,0.683913991,,0.893286435,,0,0.749113624
IDR,What are the special biophysical and cellular features of how disordered proteins interact with their partners?,,0.965534032,0.690986327,0.852379743,0.529583592,0.985918878
IDR,How is the binding of the LAT protein regulated?,0.400935858,0.50821629,0,0,0,0
IDR,"In a physical and biological sense, what makes the protein-protein interaction modes of disordered proteins special?",0.932824817,0.928390218,0.54057306,0.982164249,0,0.982164249
IDR,What is CALVADOS?,0.480101309,0.86278143,1,0.721962271,0,0
IDR,What are the main steps to computationally generating conformational ensembles of disordered proteins?,1,0.868441286,0.945870638,0.884371819,0,0.884331605
IDR,Are compact IDRs generally longer than extended IDRs?,0.943462203,0.243963282,0.818090812,0.243963282,0,0.849770251
