library,Evaluator,question,qa_cos,qa_dot,mini_l6,mini_l12,snowflake,nomic,pubmed_bert
PTM,BM,What is the compaction of human p53?,0.823286124,0.517622182,0.40870047,0.597632766,0.739509213,0.505283875,0.411835941
PTM,BM,How is the biological role of a disordered protein dependent on the degree to which it has a compact overall structure?,0.792764269,0.797450445,0.867999163,0.779832476,0.770915738,0.700737164,0.825492787
PTM,BL,What is CoA?,0.926553596,0.80002804,0.90207454,0.689359458,0.676211984,0.91566613,0.827919833
PTM,BL,What is acetyl-CoA?,0.912799473,0.816443472,0.709181724,0.833367464,0.896574942,0.905017278,0.835712867
PTM,BL,What is succinyl-CoA?,0.826739383,0.84911322,0.689837343,0.834337637,0.763586281,0.861525794,0.779855666
PTM,BL,What reactions does SIRT5 catalyze?,0.782784124,0.780459196,0.766628727,0.787501939,0.795660977,0.80597111,0.686063493
PTM,BL,What is lysine acylation?,0.864269425,0.787259156,0.816483065,0.777548693,0.858921637,0.792270473,0.825085483
PTM,BL,What is lysine acetylation?,0.793860875,0.751749156,0.796177809,0.742080383,0.814523947,0.796856948,0.734493525
PTM,BL,"Where, within cells, is succinyl-CoA found?",0.784778789,0.721804489,0.870296217,0.784521674,0.789069294,0.783609924,0.844716254
PTM,BL,What species is succinyl-CoA found in?,0.854283829,0.762643034,0.697026792,0.694241408,0.826903359,0.845983878,0.816173108
PTM,BL,What processes do lysine acylations regulate?,0.719720553,0.839441902,0.862880743,0.781017461,0.652046314,0.805911296,0.770766398
PTM,BL,"Where, within proteins, does lysine acetylation happen?",0.695149127,0.758289753,0.776796936,0.76745113,0.746089309,0.666925593,0.747043462
PTM,BL,Are there lysine acylation reader domains in bacteria?,0.890426276,0.869728387,0.847982329,0.869490647,0.735366879,0.878501205,0.91052313
PTM,BL,What lysine acylation reader domains are known in mammals?,0.825316975,0.838591854,0.702272369,0.837656656,0.662139566,0.908458768,0.676301327
PTM,BL,"What enzymes succinylate lysines outside of mitochondria, and where does their succinyl-CoA come from?",0.688081473,0.686129105,0.75126564,0.693314647,0.798746862,0.730019387,0.592754153
PTM,BL,"What PTM does succinylation overlap with, and to what percentage?",0.637098885,0.63862153,0.607105443,0.664173117,0.298266239,0.701152852,0.459895709
PTM,BL,What evidence is there for demalonylation by SIRT5?,0.933464318,0.792215888,0.880678977,0.84157368,0.847800417,0.848103272,0.843546296
PTM,BL,"Is there a known ""writer"" enzyme for lysine malonylation?",0.613971248,0.817257353,0.674090489,0.828701915,0.897988855,0.537780911,0.595321739
PTM,BL,Whats a possible source of non-enzymatic lysine acetylation?,0.905602205,0.899081853,0.87730321,0.893594096,0.684373318,0.807042548,0.854716269
PTM,BL,What species does acetylphosphate-dependent lysine acetylation occur in?,0.771092636,0.789452174,0.636002003,0.749568768,0.796141876,0.781700613,0.756320058
PTM,BL,What acylation-related enzymes are used by pathogenic bacteria to attack their hosts?,0.986396667,0.946957907,0.986396667,0.867969094,0.566129353,0.988477565,0.965306388
PTM,BL,What does alpha-ketoglutarate do in the context of lysine acylations?,0.789089492,0.668212445,0.719221223,0.704455065,0.439618531,0.686628296,0.656596332
